disclosure,model,measurement_source,safe_batch_24g,torch_peak_gb,nvidia_smi_peak_gb,step_s_3090,epochs,train_rows,all_rows_predicted,train_steps_per_epoch,train_steps_total,predict_batches,gpu_train_hours_3090,predict_hours_3090_est,total_hours_3090_est,total_hms_3090_est,gpu_train_hours_4090_1p7x,total_hours_4090_expected_1p7x,total_hms_4090_expected_1p7x,total_hours_4090_fast_2p0x,total_hours_4090_slow_1p5x
combined,C1_bert_s1,measured:C1_bert_s1,72,22.223,22.831,1.251254,3,274387,427429,3812,11436,5939,3.9748168733333338,0.7224775353055556,4.697294408638889,04:41:50,2.33812757254902,2.763114358022876,02:45:47,2.3486472043194446,3.1315296057592596
combined,C1_bert_s2,proxy:C2_finbert_s2,4,19.802,20.663,0.903121,3,274387,427429,68598,205794,106859,51.626911965,9.382586785736109,61.00949875073611,61:00:34,30.368771744117648,35.88794044160947,35:53:17,30.504749375368053,40.67299916715741
combined,C2_finbert_s1,measured:C2_finbert_s1,72,22.223,22.831,1.25313,3,274387,427429,3812,11436,5939,3.9807763,0.7235607429166667,4.704337042916666,04:42:16,2.341633117647059,2.7672570840686275,02:46:02,2.352168521458333,3.1362246952777775
combined,C2_finbert_s2,measured:C2_finbert_s2,4,19.802,20.663,0.903121,3,274387,427429,68598,205794,106859,51.626911965,9.382586785736109,61.00949875073611,61:00:34,30.368771744117648,35.88794044160947,35:53:17,30.504749375368053,40.67299916715741
combined,C2_finbert_s3,measured:C2_finbert_s3,4,19.804,20.665,0.903772,3,274387,427429,68598,205794,106859,51.66412638,9.389350069944445,61.05347644994444,61:03:13,30.39066257647059,35.91380967643791,35:54:50,30.52673822497222,40.702317633296296
combined,C2_finbert_s4,measured:C2_finbert_s4,4,19.909,20.78,0.905313,3,274387,427429,68598,205794,106859,51.752217645,9.405359625958333,61.157577270958335,61:09:27,30.44248096764706,35.975045453504904,35:58:30,30.578788635479167,40.77171818063889
combined,C3_roberta_s1,measured:C3_roberta_s1,72,22.391,22.995,1.199814,3,274387,427429,3812,11436,5939,3.81140914,0.6927759364166667,4.504185076416666,04:30:15,2.2420053764705883,2.6495206331862744,02:38:58,2.252092538208333,3.0027900509444443
combined,D1_concat_mlp,measured:D1_concat_mlp,72,22.223,22.833,1.268134,3,274387,427429,3812,11436,5939,4.028439006666667,0.7322240941944446,4.7606631008611116,04:45:38,2.369670003921569,2.800390059330066,02:48:01,2.3803315504305558,3.1737754005740744
combined,D2_gated_fusion,measured:D2_gated_fusion,72,22.223,22.833,1.26887,3,274387,427429,3812,11436,5939,4.030777033333333,0.7326490626388887,4.763426095972222,04:45:48,2.37104531372549,2.8020153505718954,02:48:07,2.381713047986111,3.1756173973148147
long_form,C1_bert_s1,measured:C1_bert_s1,72,22.223,22.831,1.251254,3,58602,94237,815,2445,1311,0.8498100083333334,0.15948274941666665,1.0092927577500002,01:00:33,0.49988824019607847,0.5937016222058824,00:35:37,0.5046463788750001,0.6728618385000001
