disclosure,horizon,challenger,n_obs,n_days,dm_se_clu,p_se_clu,dm_qlike_vol_clu,p_qlike_vol_clu,dm_qlike_var_clu,p_qlike_var_clu,holm_se_clu,holm_qlike_vol_clu,holm_qlike_var_clu,better_se_holm,better_se_raw,worse_se_holm,better_qlike_vol_holm,better_qlike_vol_raw,worse_qlike_vol_holm,better_qlike_var_holm,better_qlike_var_raw,worse_qlike_var_holm
long_form,5,A3_garch,7951,809,5.2226187643376445,2.2459732209740075e-07,4.501456026602837,7.74081197854884e-06,-1.6854095771225224,0.09229569082690821,1.6700147191315716e-06,3.096324791419536e-05,0.18459138165381642,False,False,True,False,False,True,False,False,False
long_form,5,A4_egarch,7951,809,2.7407164459708273,0.006265877878346907,2.4607433912053613,0.014073088753577262,-2.923007581788732,0.003563463549210772,0.018797633635040722,0.014073088753577262,0.010690390647632317,False,False,True,False,False,True,True,True,False
long_form,5,A5_arima,7951,809,5.841019892959481,7.516809074837339e-09,4.742245978006277,2.4981190366923472e-06,-0.09845067963578275,0.9215988512385834,6.765128167353605e-08,1.2490595183461736e-05,0.9215988512385834,False,False,True,False,False,True,False,False,False
long_form,5,B2_tfidf_ridge,7951,809,6.354028074272517,3.500856713726321e-10,8.099316797379867,2.032546423143402e-15,8.31526830588147,3.866467553123896e-16,4.201028056471585e-09,2.6423103500864228e-14,3.4798207978115062e-15,False,False,True,False,False,True,False,False,True
long_form,5,C1_bert_s1,7951,809,7.641800605610794,6.069583724847054e-14,9.587899564829915,1.079387197239619e-20,10.139872271674413,7.974053015366841e-23,1.1532209077209403e-12,2.158774394479238e-19,1.5150700729196999e-21,False,False,True,False,False,True,False,False,True
long_form,5,C1_bert_s2,7951,809,7.211976524457862,1.2693393762002917e-12,8.90100625179186,3.5920531219611086e-18,9.69976215608233,4.060825061559791e-21,2.157876939540496e-11,6.106490307333885e-17,6.497320098495666e-20,False,False,True,False,False,True,False,False,True
long_form,5,C2_finbert_s1,7951,809,6.678893522302775,4.4777243930012705e-11,8.271299303320305,5.436449046196857e-16,9.080359476292044,8.148119050164847e-19,6.268814150201778e-10,7.6110286646756e-15,1.1407366670230786e-17,False,False,True,False,False,True,False,False,True
long_form,5,C2_finbert_s2,7951,809,7.631129147117028,6.557148470294042e-14,9.480851459205864,2.728279705799184e-20,10.192639594206177,4.9336402615482547e-23,1.1802867246529276e-12,4.910903470438532e-19,9.86728052309651e-22,False,False,True,False,False,True,False,False,True
long_form,5,C2_finbert_s3,7951,809,6.6770881307093415,4.530290290215986e-11,8.3535549272207,2.8702489576431356e-16,9.266867829976164,1.6994040525577157e-19,6.268814150201778e-10,4.3053734364647034e-15,2.5491060788365736e-18,False,False,True,False,False,True,False,False,True
long_form,5,C2_finbert_s4,7951,809,7.066150357864702,3.4427359167304904e-12,8.763941619592323,1.0984916273801075e-17,9.72845021299889,3.1558723032493555e-21,5.508377466768785e-11,1.757586603808172e-16,5.364982915523904e-20,False,False,True,False,False,True,False,False,True
long_form,5,C3_roberta_s1,7951,809,7.68014723688616,4.5946935347140115e-14,9.489960465895162,2.522074832908617e-20,9.867570892527217,9.217421563725444e-22,9.189387069428023e-13,4.791942182526373e-19,1.65913588147058e-20,False,False,True,False,False,True,False,False,True
