disc,model,h,clu_genuine_raw,clu_genuine_holm,maximal_raw,maximal_holm,firm_raw,firm_holm,withindate_crosssec,withindate_verdict,seed_ens_genuine,AND_maximal_firm_raw,AND_maximal_firm_holm,AND_full_raw,AND_full_holm,AND_5way_raw,AND_5way_holm,rel_impr_pct,rel_impr_pct_maximal,rel_impr_pct_firm
event_driven,B1_bow_ridge,5,True,True,False,False,True,True,True,cross-sectional,True,False,False,False,False,False,False,1.331417884609428,0.3122559643525115,0.4614762928848334
event_driven,B1_bow_ridge,10,True,True,False,False,True,True,True,cross-sectional,True,False,False,False,False,False,False,1.228718774588584,-0.1566523524011691,0.2503934385545798
event_driven,B1_bow_ridge,20,True,False,False,False,False,False,True,cross-sectional,False,False,False,False,False,False,False,1.5311119888873268,-0.2666154547425453,-0.1929512232630929
event_driven,B2_tfidf_ridge,5,True,False,False,False,True,False,True,cross-sectional,False,False,False,False,False,False,False,1.2074814852932854,0.1474650996193851,0.4435060552205759
event_driven,B2_tfidf_ridge,10,True,False,False,False,True,True,True,cross-sectional,False,False,False,False,False,False,False,1.3547084106734637,-0.0576037379135628,0.2812042843458857
event_driven,B2_tfidf_ridge,20,True,False,False,False,False,False,True,cross-sectional,False,False,False,False,False,False,False,1.839723831694415,-0.1273948128971892,-0.0451100564968601
event_driven,B3_lm_linear,5,True,False,False,False,True,False,False,regime-timing,False,False,False,False,False,False,False,0.2476552098957819,0.1607652035984077,0.1104712123827451
event_driven,B3_lm_linear,10,False,False,False,False,False,False,True,cross-sectional,False,False,False,False,False,False,False,0.2001155233282068,0.0873400993915986,0.1079528026898246
event_driven,B3_lm_linear,20,False,False,False,False,True,False,False,n/a (not genuine),False,False,False,False,False,False,False,0.2595112607503413,0.0940899972008299,0.1696191259451645
event_driven,B4_lm_features,5,False,False,False,False,False,False,False,regime-timing,False,False,False,False,False,False,False,0.1842237215472996,0.1948934653110163,0.218061153708448
event_driven,B4_lm_features,10,True,False,True,False,True,False,True,cross-sectional,False,True,False,True,False,False,False,0.0820115707812811,0.084346348343745,0.1304350276414691
event_driven,B4_lm_features,20,True,False,False,False,True,False,True,cross-sectional,False,False,False,False,False,False,False,0.2470349948307292,0.0855867687723877,0.1101905017582833
event_driven,C2_finbert_s1,5,True,True,False,False,False,False,False,n/a (not genuine),True,False,False,False,False,False,False,2.1354108463976527,0.5684564618058107,-0.2824107274048019
event_driven,C2_finbert_s1,10,True,True,False,False,False,False,True,cross-sectional,True,False,False,False,False,False,False,2.103684316886877,0.2110065525050266,-1.222864920999435
event_driven,C2_finbert_s1,20,False,False,False,False,False,False,False,n/a (not genuine),False,False,False,False,False,False,False,0.9196526269056868,-4.539568799259102,0.5777402830426177
