disc,model,h,quarter,quarter_idx,n,fixed_rel,fixed_dm_clu,fixed_p_clu,fixed_dm_legacy,fixed_p_legacy,exp_rel,exp_dm_clu,exp_p_clu,exp_dm_legacy,exp_p_legacy
long_form,B1_bow_ridge,5,2022Q1,0,501,-3.014927290692846,0.9371933209509723,0.3530762333938712,1.7666721160299126,0.07789321929303145,-72.64014111112883,2.0954801745297105,0.041111990066609004,4.680288622049333,3.69386960881958e-06
long_form,B1_bow_ridge,5,2022Q2,1,491,-0.15244367127738265,-1.605827428956604,0.1146099117933061,0.19303525997800472,0.8470113380398276,-32.48760116076073,3.0471958150867002,0.0036837600406314725,7.004895201656576,8.20147100837481e-12
long_form,B1_bow_ridge,5,2022Q3,2,489,3.3708177709905462,-1.4612020676071773,0.15090801815489052,-3.4389318108010984,0.0006340399660458663,-15.722433222089906,1.6774419498051838,0.10038980688119563,2.4014089394571716,0.016705118613716295
long_form,B1_bow_ridge,5,2022Q4,3,496,0.7809353742534895,-0.9743544044944091,0.3343915881503435,-0.9397180871967397,0.3478205090707987,-24.618903517784766,1.9861722847064498,0.05229690000128409,4.564697785041051,6.318148120061092e-06
long_form,B1_bow_ridge,5,2023Q1,4,500,3.2411719804367527,-2.4777266594851124,0.016793386295146685,-2.917577900275321,0.003686683243950308,-30.372476352758188,0.6626517422821706,0.5107231593462318,3.687178104158146,0.00025162785631889934
long_form,B1_bow_ridge,5,2023Q2,5,496,2.0665327574796897,-2.0173240575210185,0.04904595154550071,-3.2345544316956905,0.0012997538248043666,-7.289731494562029,1.7625147589567858,0.08409418860919082,1.5877283959928654,0.11298628918707397
long_form,B1_bow_ridge,5,2023Q3,6,490,1.6538166923027702,0.0746118470269229,0.9408402133206619,-2.3223219312218393,0.020625301234900112,-2.832323370554568,1.6054428919912473,0.11509542214651977,0.7088053908557019,0.47878302055440325
long_form,B1_bow_ridge,5,2023Q4,7,496,1.2170970169452897,-2.1025718135157727,0.04045896945230363,-1.5536227694929832,0.1209135217944392,-10.327202417707458,-0.11892380344070269,0.9058029253518306,2.129275409073237,0.03372436871910558
long_form,B1_bow_ridge,5,2024Q1,8,498,2.483346941105296,-2.5162371594663844,0.015258944874581574,-2.254733027756541,0.024584557839410676,-23.389563706003933,0.6959386693236604,0.48982337906967144,2.455149152836325,0.014424129041704835
long_form,B1_bow_ridge,5,2024Q2,9,500,2.3903505968815084,-2.2340157594718115,0.030277605786058474,-4.575733805523184,5.995828357115093e-06,2.668864024887286,-1.331520557893482,0.189439970885001,-0.8631952869741412,0.3884447890463737
long_form,B1_bow_ridge,5,2024Q3,10,492,0.1909262711205011,0.019452999857935978,0.9845556384531128,-0.2317074501483692,0.8168617777750757,-13.806705609492955,2.585271734833316,0.012632226188120606,3.325991778532878,0.0009470469450952035
