disc,model,h,n_seeds,seeds,n_test,g_log,vol_qlike_raw,vol_qlike_R,vol_qlike_U,vol_rel_impr_pct,vol_dm_q_clu,vol_p_q_clu,vol_boot_lo_daily,vol_boot_hi_daily,vol_placebo_dm_clu,n_days,cw_t_clu,cw_p_clu,var_qlike_raw,var_qlike_R,var_qlike_U,var_rel_impr_pct,var_dm_q_clu,var_p_q_clu,var_boot_lo_daily,var_boot_hi_daily,var_placebo_dm_clu,s26_qlike_R,s26_qlike_U,s26_g_log,s26_dm_q_clu,s26_p_q_clu,s26_placebo_dm_clu,vol_dmq_holm_clu,var_dmq_holm_clu,s26_dmq_holm_clu,genuine_ens_vol,genuine_ens_var,genuine_s26_clu,orig_n_test,orig_qlike_R,orig_qlike_U,orig_rel_impr_pct,orig_g_log,orig_dm_q,orig_dmq_holm,orig_placebo_dm,orig_genuine,status_vs_original,convention_dependent
long_form,B1_bow_ridge,5,1,2026,7951,0.10688423823233704,0.1226067260656771,0.12086879176314268,0.11888011745513084,1.6453166106838288,-3.8343062389023346,0.00013571202045885167,-0.0027639579746118184,-0.0008926237679088614,0.4266040577339112,809,5.730285917685411,7.074897587381136e-09,0.5564483863244479,0.5108919256273659,0.5048760525755177,1.1775236111748606,-1.4169609051758114,0.15687980292071824,-0.00843362645233977,0.0013897690265929703,0.11455932859569037,0.12086879176314268,0.11888011745513084,0.10688423823233704,-3.8343062389023346,0.00013571202045885167,0.4266040577339112,0.0050213447569775116,1.0,0.005835616879730622,True,False,True,7951,0.1208687917631426,0.1188801174551308,1.6453166106838288,0.106884238232337,-6.75177697668904,5.470897497515388e-10,1.435695962496948,True,SURVIVES,True
long_form,B1_bow_ridge,10,1,2026,7933,0.058530808524301106,0.08926724489634956,0.08729339051016716,0.08603367759089903,1.4430793808168212,-4.14759093241594,3.718297815318565e-05,-0.0015323209305146428,-0.0005582994173320172,0.3876537309612839,803,4.403102330922889,6.0584456281757435e-06,0.46177717342123126,0.38627319878223637,0.3794696285321523,1.761336347314015,-1.897544906117726,0.05811496360633967,-0.006052084212178816,0.00014872806005323722,0.7070729506559704,0.08729339051016716,0.08603367759089903,0.058530808524301106,-4.14759093241594,3.718297815318565e-05,0.3876537309612839,0.0014501361479742404,1.0,0.0016360510387401685,True,False,True,7933,0.0872933905101671,0.086033677590899,1.4430793808168212,0.0585308085243011,-9.179812311390869,2.7650192655020537e-18,1.2502927434312592,True,SURVIVES,True
long_form,B1_bow_ridge,20,1,2026,7902,0.09846861346054536,0.06459879310463382,0.07008297694567736,0.06799063125332619,2.9855262769060005,-5.446405777397618,6.860604581652476e-08,-0.002547299408650059,-0.0012241286134183234,-0.24844069597837323,794,5.787289314991177,5.149118620137087e-09,0.29702680560350897,0.26465678600283427,0.2569784904336226,2.9012275427275274,-3.1528903025454817,0.0016774857979738578,-0.008902067136527778,-0.002057668980492675,-0.06701253554705837,0.07008297694567736,0.06799063125332619,0.09846861346054536,-5.446405777397618,6.860604581652476e-08,-0.24844069597837323,3.636120428275812e-06,0.06709943191895432,3.910544611541911e-06,True,False,True,7902,0.0700829769456773,0.0679906312533261,2.9855262769060005,0.0984686134605453,-13.075267803903577,6.995731622540708e-37,-0.3421347296578022,True,SURVIVES,True
long_form,B2_tfidf_ridge,5,1,2026,7951,0.23683180904696574,0.1226067260656771,0.12086879176314268,0.11684325492956003,3.3305014262665753,-5.3907848396946605,9.213613664235412e-08,-0.005294901743750942,-0.0024778481066551417,0.5067196653293575,809,8.27578334308788,2.625555760512926e-16,0.5564483863244479,0.5108919256273659,0.4976112881724788,2.5995003617602057,-2.2158478270666127,0.026979900280726617,-0.01464592309138007,-0.0006275150632590865,0.10099799648463334,0.12086879176314268,0.11684325492956003,0.23683180904696574,-5.3907848396946605,9.213613664235412e-08,0.5067196653293575,4.791079105402414e-06,0.6744975070181655,5.067487515329477e-06,True,False,True,7951,0.1208687917631426,0.11684325492956,3.3305014262665753,0.2368318090469657,-11.338148065949502,8.445754629027037e-28,0.4180632407896525,True,SURVIVES,True
long_form,B2_tfidf_ridge,10,1,2026,7933,0.17001060754841513,0.08926724489634956,0.08729339051016716,0.08425354518391244,3.4823316043620314,-8.89254432852136,3.901005011622187e-18,-0.004264900010891767,-0.0028147069523075468,0.32827969728391804,803,8.864272829316425,2.4582593183920408e-18,0.46177717342123126,0.38627319878223637,0.3762160553167392,2.6036348100782827,-6.319115721003326,4.3596735473644924e-10,-0.013927135205317357,-0.007666165318059597,-0.015512222863106061,0.08729339051016716,0.08425354518391244,0.17001060754841513,-8.89254432852136,3.901005011622187e-18,0.32827969728391804,2.613673357786865e-16,2.83378780578692e-08,2.613673357786865e-16,True,True,True,7933,0.0872933905101671,0.0842535451839124,3.4823316043620314,0.1700106075484151,-15.29925124265144,2.8167977607867468e-50,0.9485485182187372,True,SURVIVES,False
long_form,B2_tfidf_ridge,20,1,2026,7902,0.2044249337080748,0.06459879310463382,0.07008297694567736,0.06593416311016972,5.9198595954670425,-9.041621963712146,1.1651051953355876e-18,-0.005220555578169524,-0.0034336711942865193,0.29793310268116374,794,9.2132015526386,1.3888567191085468e-19,0.29702680560350897,0.26465678600283427,0.25029459529618203,5.426723011175095,-7.951929741708541,6.316232135739461e-15,-0.016999620083057308,-0.010481329004974742,0.0483604127820775,0.07008297694567736,0.06593416311016972,0.2044249337080748,-9.041621963712146,1.1651051953355876e-18,0.29793310268116374,7.922715328281996e-17,4.2950378523028335e-13,7.922715328281996e-17,True,True,True,7902,0.0700829769456773,0.0659341631101697,5.9198595954670425,0.2044249337080748,-19.616773197113712,7.352329679310797e-82,2.1796973605507795,False,GAINED,False
long_form,B3_lm_linear,5,1,2026,7951,0.6413123812975448,0.1226067260656771,0.12086879176314268,0.12027090153903107,0.49466054503402973,-2.583028949055883,0.009968402319951325,-0.0033998502017239824,-0.0004982031242502617,0.5900481940646093,809,5.093724078815931,2.1863886338698342e-07,0.5564483863244479,0.5108919256273659,0.515410862464077,-0.8845191340931738,-0.2825388912309886,0.7776026893882828,-0.009706768387011481,0.007360155995662664,-0.8129756863018806,0.12086879176314268,0.12027090153903107,0.6413123812975448,-2.583028949055883,0.009968402319951325,0.5900481940646093,0.18939964407907517,1.0,0.26914686263868576,False,False,False,7951,0.1208687917631426,0.120270901539031,0.4946605450340297,0.6413123812975448,-1.7001812014489934,0.8022236523606352,0.6524478546964201,False,null-null,False
long_form,B3_lm_linear,10,1,2026,7933,0.5905278250429469,0.08926724489634956,0.08729339051016716,0.08572727198461577,1.7940860314836526,-4.615395517081547,4.566983311300923e-06,-0.0035052145201117987,-0.001470035640192785,0.2714877342521003,803,5.720201778276212,7.509198654272743e-09,0.46177717342123126,0.38627319878223637,0.3810513136260158,1.3518631819870164,-2.308389405965023,0.02123101408400015,-0.012361104715076933,-0.0015540786188706819,-0.1599756000152776,0.08729339051016716,0.08572727198461577,0.5905278250429469,-4.615395517081547,4.566983311300923e-06,0.2714877342521003,0.00019181329907463874,0.5520063661840039,0.00021464821563114338,True,False,True,7933,0.0872933905101671,0.0857272719846157,1.7940860314836526,0.5905278250429469,-5.445647051102129,1.3290562789952073e-06,0.7085269884587463,True,SURVIVES,True
long_form,B3_lm_linear,20,1,2026,7902,0.5816444686551895,0.06459879310463382,0.07008297694567736,0.06764063517559431,3.484928689567737,-4.69288743331623,3.1725548463252715e-06,-0.003177145302403226,-0.0013472632131446146,-1.2585489497240971,794,6.09383467461838,8.59478471737228e-10,0.29702680560350897,0.26465678600283427,0.25723565331686965,2.804059097840454,-3.3509009456615555,0.0008436008000972645,-0.010021562382866467,-0.002734068619251855,-1.0563049231785344,0.07008297694567736,0.06764063517559431,0.5816444686551895,-4.69288743331623,3.1725548463252715e-06,-1.2585489497240971,0.00013641985839198668,0.0379620360043769,0.00015228263262361303,True,True,True,7902,0.0700829769456773,0.0676406351755943,3.484928689567737,0.5816444686551895,-9.63202722186528,4.090540876910333e-20,-1.0823712867542965,True,SURVIVES,False
long_form,B4_lm_features,5,1,2026,7951,0.13906244006395818,0.1226067260656771,0.12086879176314268,0.12073246231467775,0.11279127264883795,1.020094388471287,0.30798902639445963,-7.690628763030847e-05,0.0002656957569027844,0.42772485818947886,809,1.407026901114177,0.07990196967235125,0.5564483863244479,0.5108919256273659,0.5114680475395578,-0.1127678640613572,1.5606053614907602,0.11900845752599319,-0.00013828148645013072,0.0020591457939656585,-1.601665455820935,0.12086879176314268,0.12073246231467775,0.13906244006395818,1.020094388471287,0.30798902639445963,0.42772485818947886,1.0,1.0,1.0,False,False,False,7951,0.1208687917631426,0.1207324623146777,0.1127912726488379,0.1390624400639581,-2.7966909124361963,0.0724541031849139,-0.131357164352802,False,null-null,False
