disclosure,model,horizon,n_seeds,r2_mean,r2_std,qlike_mean,qlike_std,mae_mean,mae_std,rmse_mean,rmse_std,se_dm_mean,se_dm_std,se_dm_nsig,se_dm_n,se_dm_dir,qlike_dm_mean,qlike_dm_std,qlike_dm_nsig,qlike_dm_n,qlike_dm_dir
long_form,A1_hv,5,1,-1.3398131112672194,0.0,1.145811279296198,0.0,0.15923620880505412,0.0,0.2579880170300254,0.0,11.585051121569075,0.0,1,1,WORSE,13.302950094557353,0.0,1,1,WORSE
long_form,A1_hv,10,1,-0.7556868811095423,0.0,0.5600242287834066,0.0,0.1295724242225109,0.0,0.22165826153733145,0.0,10.935738085175279,0.0,1,1,WORSE,3.5880203816277314,0.0,1,1,WORSE
long_form,A1_hv,20,1,-0.3234540792170575,0.0,0.32186539395229047,0.0,0.0975932732426365,0.0,0.15049202021341082,0.0,7.233937098863259,0.0,1,1,WORSE,2.5685940019256552,0.0,1,1,WORSE
long_form,A3_garch,5,1,-0.22556835220063687,0.0,0.48291882592891383,0.0,0.1259720993682282,0.0,0.18671435904521322,0.0,7.096510606589239,0.0,1,1,WORSE,-7.4913607523502845,0.0,1,1,BETTER
long_form,A3_garch,10,1,-0.137423222745662,0.0,0.37495096252858306,0.0,0.11038791492622281,0.0,0.17841092144493698,0.0,6.4696108451760015,0.0,1,1,WORSE,-2.647620113403747,0.0,1,1,BETTER
long_form,A3_garch,20,1,-0.2316067577116172,0.0,0.2685576329516436,0.0,0.09574798158399,0.0,0.14517607994308648,0.0,6.945424685012655,0.0,1,1,WORSE,-3.0459175683404096,0.0,1,1,BETTER
long_form,A4_egarch,5,1,-0.30566264044230307,0.0,0.46308135408327505,0.0,0.12126193040773722,0.0,0.19271895767564934,0.0,3.464666791895207,0.0,1,1,WORSE,-9.076638674585876,0.0,1,1,BETTER
long_form,A4_egarch,10,1,-0.21560515275918624,0.0,0.3540848713549454,0.0,0.10580929290819563,0.0,0.18444065544793392,0.0,2.7619279918382587,0.0,1,1,WORSE,-3.1216264576800645,0.0,1,1,BETTER
long_form,A4_egarch,20,1,-0.23063161841575774,0.0,0.3180190284610046,0.0,0.09335669853276575,0.0,0.14511859611864225,0.0,3.014197221241424,0.0,1,1,WORSE,0.3342787656233661,0.0,0,1,WORSE
long_form,A5_arima,5,1,-0.08161850100843493,0.0,0.5317246996658591,0.0,0.12173316537162411,0.0,0.17540662925882458,0.0,6.353660521192573,0.0,1,1,WORSE,-3.0371540336158973,0.0,1,1,BETTER
long_form,A5_arima,10,1,0.02063145776255193,0.0,0.406678287814256,0.0,0.10306537197788845,0.0,0.16555163179723886,0.0,4.64338371700273,0.0,1,1,WORSE,-2.2679130836680654,0.0,1,1,BETTER
long_form,A5_arima,20,1,0.06660186431139059,0.0,0.27320028346425423,0.0,0.0854903170206746,0.0,0.12638411694538695,0.0,4.10196669077547,0.0,1,1,WORSE,-3.6334278846334382,0.0,1,1,BETTER
long_form,B1_bow_ridge,5,1,-0.4681629290935958,0.0,2.284443198837555,0.0,0.13236387674599645,0.0,0.2043600857775837,0.0,5.783148108729483,0.0,1,1,WORSE,11.002427771327616,0.0,1,1,WORSE
long_form,B1_bow_ridge,10,1,-0.34998879465141797,0.0,1.5915788339258456,0.0,0.11769748806138047,0.0,0.1943683162857017,0.0,4.9076446885388965,0.0,1,1,WORSE,10.876016414790003,0.0,1,1,WORSE
long_form,B1_bow_ridge,20,1,-0.40082982302446646,0.0,1.0668173882344605,0.0,0.10204638454191105,0.0,0.15482879127643948,0.0,4.630580390392557,0.0,1,1,WORSE,10.645413818272626,0.0,1,1,WORSE
long_form,B2_tfidf_ridge,5,1,-0.12215977668141131,0.0,1.237123575993805,0.0,0.11769420855540104,0.0,0.178663689467116,0.0,13.642436896083911,0.0,1,1,WORSE,19.54629529936443,0.0,1,1,WORSE
long_form,B2_tfidf_ridge,10,1,-0.10455872580090464,0.0,1.0522026258456578,0.0,0.10612055997212416,0.0,0.17581454301767235,0.0,13.451277001025074,0.0,1,1,WORSE,7.718472255914484,0.0,1,1,WORSE
long_form,B2_tfidf_ridge,20,1,-0.11982604178936507,0.0,0.7083046531924351,0.0,0.09343654875319066,0.0,0.13843130569832776,0.0,11.859987495749372,0.0,1,1,WORSE,14.659775259697403,0.0,1,1,WORSE
long_form,B3_lm_linear,5,1,-0.21070955279326786,0.0,1.29365423772542,0.0,0.12018523145788873,0.0,0.18557904430274377,0.0,15.264141970043058,0.0,1,1,WORSE,18.487967611169147,0.0,1,1,WORSE
long_form,B3_lm_linear,10,1,-0.17443717532464031,0.0,1.064866264768165,0.0,0.10835294557787936,0.0,0.18129059972846473,0.0,15.425830937172446,0.0,1,1,WORSE,10.041812416015638,0.0,1,1,WORSE
long_form,B3_lm_linear,20,1,-0.18926852177181974,0.0,0.6917834991447603,0.0,0.0938568885266048,0.0,0.14265894097601892,0.0,13.35262104729494,0.0,1,1,WORSE,15.466090084800186,0.0,1,1,WORSE
long_form,B4_lm_features,5,1,-0.25707629847857705,0.0,1.416611377533381,0.0,0.12271207561793018,0.0,0.18909923344234397,0.0,16.42155702393632,0.0,1,1,WORSE,19.74748609118111,0.0,1,1,WORSE
long_form,B4_lm_features,10,1,-0.19418897269725388,0.0,1.1222665599133341,0.0,0.10966320750421812,0.0,0.18280872472097578,0.0,15.774056395769035,0.0,1,1,WORSE,8.868352441919708,0.0,1,1,WORSE
