disc,model,h,dm_q_2026,dm_q_2027,dm_q_2028,p_holm_2026,p_holm_2027,p_holm_2028,p_q_2026,p_q_2027,p_q_2028,rel_impr_pct_2026,rel_impr_pct_2027,rel_impr_pct_2028,rel_mean,rel_std,n_seeds,n_sig_raw,n_sig_holm,n_dm_neg,n_dm_pos,sign_disagree,grid2026_rel_impr_pct,grid2026_genuine
combined,C1_bert_s1,5,-17.685944139549896,-12.653118684902486,-12.416491013118083,1.4548759736705376e-67,1.4644253969033774e-34,2.652163855564989e-33,1.1278108323027422e-69,1.3075226758065869e-36,2.550157553427874e-35,1.9650014704700687,0.8519822358081914,0.8725953651187563,1.2298596904656722,0.6367348763857826,3,3,3,3,0,False,,
combined,C1_bert_s1,10,-8.189452488900503,-11.474755130567814,-10.06002934845278,1.902558694581927e-14,1.9580335991605354e-28,7.633433336791805e-22,2.7179409922598958e-16,2.0185913393407582e-30,8.980509807990359e-24,0.5774462294718946,2.1332568693008342,0.6207095532849072,1.110470884019212,0.886022746639843,3,3,3,3,0,False,,
combined,C1_bert_s1,20,-21.4839733367888,-30.164934841779182,-30.464368634392297,1.5503121553807447e-99,5.052617966364718e-195,7.330606449171599e-199,1.1153324858854279e-101,3.508762476642165e-197,5.090698923035833e-201,1.2960887128456855,2.722031651009467,0.022311917116156557,1.3468107603237698,1.3505743981612115,3,3,3,3,0,False,,
combined,C1_bert_s2,5,-16.71696463441393,-10.291259292953102,-13.915549959261536,2.209237635561693e-60,7.233456614700103e-23,7.593441924705696e-42,1.7816432544852363e-62,8.410996063604772e-25,6.779858861344371e-44,2.171077502921757,1.1970064327671375,0.7290885693066127,1.3657241683318357,0.7356509205375161,3,3,3,3,0,False,,
combined,C1_bert_s2,10,-12.863183075973664,-15.22523564618621,-17.91195190143764,9.391462645979095e-36,4.455016811835209e-50,2.826043590568851e-69,8.94425013902771e-38,3.621964887670902e-52,2.0779732283594494e-71,1.2188818799723533,1.7683825764949614,1.0156204682157435,1.3342949748943527,0.38942628927031764,3,3,3,3,0,False,,
combined,C1_bert_s2,20,-18.993163055723674,-15.346198412155662,-21.881828699822364,7.041928025098196e-78,7.133568347921449e-51,3.151914817187663e-103,5.2551701679837284e-80,5.752877699936653e-53,2.219658321963143e-105,3.0144453476154682,0.7949716923632286,3.741850446530802,2.517089162169833,1.535104549971054,3,3,3,3,0,False,,
combined,C2_finbert_s1,5,-16.13425619232392,-14.330170306739815,-16.732901962143675,2.98863612049602e-56,2.344449133039113e-44,1.7901702791282448e-60,2.4497017381114918e-58,1.9537076108659276e-46,1.3665421978078205e-62,1.3930820857895043,1.8684579596130673,2.051179424341415,1.7709064899146625,0.3397208319819617,3,3,3,3,0,False,,
combined,C2_finbert_s1,10,-14.080259036744728,-11.656761776836774,-15.638122997135959,7.45894483516178e-43,2.393620748715475e-29,7.891409351026222e-53,6.780858941056164e-45,2.4424701517504847e-31,6.313127480820977e-55,2.1852457106148706,1.226549913604013,1.0101545946117818,1.4739834062768884,0.6254016970712261,3,3,3,3,0,False,,
combined,C2_finbert_s1,20,-27.1573208813561,-10.80305421054023,14.836101388566712,1.8202202080287519e-158,3.405144297896574e-25,1.515999143992479e-47,1.2728812643557705e-160,3.7012438020614935e-27,1.2426222491741632e-49,4.280416667935976,1.7946983431087047,-0.30261809983480475,1.9241656370699582,2.2942587595568162,3,2,2,2,1,True,,
combined,C2_finbert_s2,5,-14.643940922627499,-17.722780027252043,-12.247336180504066,2.4022516773196217e-46,7.845686071839014e-68,2.1028688761248437e-32,2.0889145020170625e-48,5.899012084089484e-70,2.0616361530635724e-34,0.8959559305151173,1.5115158532734738,0.9999292302994526,1.135800338029348,0.32950602887258384,3,3,3,3,0,False,,
combined,C2_finbert_s2,10,-16.34072827730564,-15.879522518088502,-24.375010198548527,1.0714786567787965e-57,1.8244788809198157e-54,6.417273213705764e-128,8.711208591697533e-60,1.425374125718606e-56,4.4876036459480864e-130,2.3563775708573695,1.836593739413916,1.2235541025943406,1.8055084709552087,0.5670511202689154,3,3,3,3,0,False,,
combined,C2_finbert_s2,20,-19.20014884774633,-15.797367125721072,9.685885168336695,1.4184590672892944e-79,6.647710323052497e-54,3.0036932686081514e-20,1.0429846083009517e-81,5.23441757720669e-56,3.7082632945779645e-22,4.277311019197927,1.9977859430838905,-0.011527401054811185,2.087856520409002,2.145837431035669,3,2,2,2,1,True,,
combined,C2_finbert_s3,5,-11.283913365015506,-10.341021876127822,-15.152432335575963,1.641419876107763e-27,4.3659932035832845e-23,1.3401018325726023e-49,1.7841520392475684e-29,5.018382992624465e-25,1.0895136850183758e-51,0.7961693823069448,1.4729660244822043,1.832250260264572,1.3671285556845738,0.5260865649001873,3,3,3,3,0,False,,
combined,C2_finbert_s3,10,-18.61331369034985,-9.289874597593627,-15.690527295959416,8.281605196475594e-75,1.2273913308321217e-18,3.53794821348837e-53,6.22677082441774e-77,1.636521774442829e-20,2.785785994872732e-55,0.7897252906615516,0.8317237546240405,1.54854664709779,1.0566652307944606,0.4264990779852038,3,3,3,3,0,False,,
combined,C2_finbert_s3,20,-6.56721252987629,-26.115907886608497,-19.349942211083135,3.070063306261713e-09,1.1598563419571794e-146,8.282508932957097e-81,5.2034971292571405e-11,8.16800240814915e-149,5.95863952011302e-83,0.7051749197578016,3.3314128334539337,0.20619547197893198,1.4142610750635558,1.6789426049900917,3,3,3,3,0,False,,
combined,C2_finbert_s4,5,-8.24657637905092,-12.10567641946464,-9.622399124153576,1.1996357185570244e-14,1.2426208479627418e-31,5.3592391512754235e-20,1.6896277726155272e-16,1.161327895292282e-33,6.8708194247120815e-22,1.2398680651865106,1.788640106116642,1.0948109578483844,1.374439709717179,0.3659670304555184,3,3,3,3,0,False,,
combined,C2_finbert_s4,10,-15.511471344465376,16.02711371155789,-13.312467815718307,5.366396053899369e-52,1.7612789570200646e-55,2.71520816696954e-38,4.5095765158818226e-54,1.3653325248217553e-57,2.491016666944532e-40,0.6970784477648538,-0.15246364468425666,1.9276998211420768,0.8241048747408913,1.045883261173244,3,2,2,2,1,True,,
