disc,model,h,reference,qlike_R,qlike_U,rel_pct,g_text,dm_clustered,p_clustered,n_days,p_holm
long_form,B2_tfidf_ridge,5,A2_har_rv,0.12089601073739074,0.11679889573535077,3.388957978886247,0.23927717302579768,-5.365269430450384,1.0623635120704915e-07,792,2.6559087801762285e-06
long_form,B2_tfidf_ridge,5,A6_shar,0.1209831496009451,0.11671375355009439,3.5289179236389754,0.24866595426226026,-5.491359455434336,5.377228035162168e-08,792,1.3980792891421636e-06
long_form,B2_tfidf_ridge,5,A3_garch,0.11871357756208147,0.11674449835703594,1.6586807048383219,0.14441185985144717,-4.667458659078065,3.5809400738450533e-06,792,7.161880147690106e-05
long_form,B2_tfidf_ridge,5,A4_egarch,0.11435938778369764,0.11314568400229057,1.0613066447178834,0.10188038056360992,-4.045507443912565,5.7329053812044027e-05,792,0.0009172648609927044
long_form,B2_tfidf_ridge,5,A5_arima,0.11918382650586508,0.11531858398559681,3.2430931558302114,0.251216475416415,-4.580637238185383,5.383632346684945e-06,792,0.00010228901458701397
long_form,B2_tfidf_ridge,10,A2_har_rv,0.08626101480499217,0.08312963960938856,3.63011634245507,0.16779639456631965,-8.716905081081826,1.7602692180320908e-17,766,7.3931307157347815e-16
long_form,B2_tfidf_ridge,10,A6_shar,0.08650428417809598,0.08323369976437248,3.780835186139442,0.17430146055346438,-8.982407342513397,2.034379078287083e-18,766,8.747830036634458e-17
long_form,B2_tfidf_ridge,10,A3_garch,0.0869970889897084,0.08633846000479894,0.7570701417232117,0.0439910174675174,-7.082604876487858,3.2106041063567203e-12,766,1.2200295604155538e-10
long_form,B2_tfidf_ridge,10,A4_egarch,0.08180370687899544,0.08182390462966681,-0.024690507853450335,-0.0015978718560937155,6.520018606920049,1.2762371298769138e-10,766,4.4668299545691984e-09
long_form,B2_tfidf_ridge,10,A5_arima,0.08360433454014628,0.08098362625379601,3.134655996923,0.16064666389237067,-7.173453079771134,1.7293203915987035e-12,766,6.744349527234943e-11
long_form,B2_tfidf_ridge,20,A2_har_rv,0.07117849804596708,0.06742725288633102,5.270194317971579,0.17814821268328654,-9.320346136055697,1.2162962931589468e-19,765,5.351703689899365e-18
long_form,B2_tfidf_ridge,20,A6_shar,0.07135164980134474,0.06757841330483748,5.288226000397474,0.17759220122400834,-9.597350832650042,1.1358362919906413e-20,765,5.111263313957886e-19
long_form,B2_tfidf_ridge,20,A3_garch,0.07404961145137948,0.07236428318784628,2.2759447760772806,0.1012282029888581,-7.287231304959365,7.903041926454773e-13,765,3.161216770581909e-11
long_form,B2_tfidf_ridge,20,A4_egarch,0.07058113670586605,0.06922256639289634,1.9248348445156132,0.09895049125318237,-6.316728700001528,4.532928505787696e-10,765,1.5411956919678167e-08
long_form,B2_tfidf_ridge,20,A5_arima,0.06893816309905686,0.06650650859218335,3.5272980850671583,0.1341763364569215,-7.334891907364073,5.672973402395467e-13,765,2.3259190949821412e-11
long_form,C2_finbert_s1,5,A2_har_rv,0.12089601073739074,0.12030861143180703,0.4858715370349623,0.09383594000425503,-1.1611357393736839,0.24593698256269972,792,1.0
long_form,C2_finbert_s1,5,A6_shar,0.1209831496009451,0.12032234900294196,0.5461922591557115,0.11025160515333482,-1.1558402019087108,0.24809552088804934,792,1.0
long_form,C2_finbert_s1,5,A3_garch,0.11871357756208147,0.11893710157160531,-0.18828849581839155,-0.07004293229085616,0.39904708392813376,0.6899662185548056,792,1.0
long_form,C2_finbert_s1,5,A4_egarch,0.11435938778369764,0.11474907922003053,-0.34076033798812977,-0.09892210199138772,0.6160197454296547,0.5380587089979778,792,1.0
long_form,C2_finbert_s1,5,A5_arima,0.11918382650586508,0.118596228500149,0.49301824160441704,0.11372028198331856,-0.3129383812027285,0.7544099663409312,792,1.0
long_form,C2_finbert_s1,10,A2_har_rv,0.08626101480499217,0.08245420872454627,4.4131246184059325,0.22704578301944395,-5.912222964826319,5.083781368351722e-09,766,1.5251344105055166e-07
long_form,C2_finbert_s1,10,A6_shar,0.08650428417809598,0.08261807431373133,4.492505661758531,0.23212532842608902,-6.081142786017499,1.883363338482488e-09,766,5.8384263492957124e-08
long_form,C2_finbert_s1,10,A3_garch,0.0869970889897084,0.08553362017546877,1.6822043487141913,0.10610839879004055,-4.828156762994507,1.6644175605218223e-06,766,3.661718633148009e-05
long_form,C2_finbert_s1,10,A4_egarch,0.08180370687899544,0.08095669782867769,1.0354164653817546,0.07676273396750408,-4.102312055586387,4.52911639251493e-05,766,0.0007699497867275381
long_form,C2_finbert_s1,10,A5_arima,0.08360433454014628,0.08050622122015606,3.705685042565012,0.21356494365603151,-5.046131195372876,5.637173691164416e-07,766,1.2965499489678157e-05
long_form,C2_finbert_s1,20,A2_har_rv,0.07117849804596708,0.0714114635188841,-0.3272975397240942,-0.4198851815226207,1.3420447089466943,0.17998018848422143,765,1.0
long_form,C2_finbert_s1,20,A6_shar,0.07135164980134474,0.07156261970259667,-0.2956762763570318,-0.3840678980728753,1.4199309807961156,0.15603568921770145,765,1.0
long_form,C2_finbert_s1,20,A3_garch,0.07404961145137948,0.07429036787560621,-0.32512854491452803,-0.8754625064939533,0.4016102718638718,0.6880831814203624,765,1.0
long_form,C2_finbert_s1,20,A4_egarch,0.07058113670586605,0.07074335708518688,-0.22983531704349425,-0.8402011615519871,-0.9490758563333924,0.3428821426810528,765,1.0
long_form,C2_finbert_s1,20,A5_arima,0.06893816309905686,0.06917101546614235,-0.3377699036612107,-0.5709816699138704,0.41430641308048444,0.6787660100881774,765,1.0
long_form,C6_llmtext,5,A2_har_rv,0.12089601073739074,0.11854562356237458,1.9441395631503955,0.27274392869363,-6.210773873274931,8.512667786340153e-10,792,2.724053691628849e-08
long_form,C6_llmtext,5,A6_shar,0.1209831496009451,0.11856697213947857,1.9971189950304025,0.2780085672428426,-6.228768124577577,7.631073462076916e-10,792,2.5182542424853824e-08
long_form,C6_llmtext,5,A3_garch,0.11871357756208147,0.11709070782370083,1.3670464421240704,0.3003481684331566,-5.261333609210785,1.8430229951378417e-07,792,4.42325518833082e-06
long_form,C6_llmtext,5,A4_egarch,0.11435938778369764,0.11324596343809365,0.9736186658413665,0.2694764672079224,-4.273750332114285,2.1564631561273706e-05,792,0.0003881633681029267
long_form,C6_llmtext,5,A5_arima,0.11918382650586508,0.11715476139877386,1.702466825053121,0.26432914527129947,-5.539811263289105,4.1241941781412144e-08,792,1.1135324280981278e-06
long_form,C6_llmtext,10,A2_har_rv,0.08626101480499217,0.08467258256203673,1.841425407000321,0.29693743843009723,-6.7652097117155545,2.646508529961151e-11,766,9.527430707860143e-10
long_form,C6_llmtext,10,A6_shar,0.08650428417809598,0.08490863625022423,1.8445883265002454,0.29416800860830233,-6.805024883904143,2.040349477915152e-11,766,7.549293068286062e-10
long_form,C6_llmtext,10,A3_garch,0.0869970889897084,0.08536885277529586,1.8715985021121246,0.38318988976795615,-5.840207875269003,7.706451515832098e-09,766,2.2348709395913084e-07
long_form,C6_llmtext,10,A4_egarch,0.08180370687899544,0.08069003199648317,1.3613990429059917,0.35405196812615813,-4.758532185915922,2.331540110890543e-06,766,4.89623423287014e-05
long_form,C6_llmtext,10,A5_arima,0.08360433454014628,0.08227793124392582,1.586524554637205,0.27818463580550157,-5.834335124083198,7.970827393964795e-09,766,2.2348709395913084e-07
long_form,C6_llmtext,20,A2_har_rv,0.07117849804596708,0.07099496671393297,0.25784659282299643,0.07386684337288411,-3.290668975763377,0.0010453574395491389,765,0.012544289274589667
long_form,C6_llmtext,20,A6_shar,0.07135164980134474,0.07116853059961245,0.25664326226811623,0.07433706197190323,-3.2192940202719567,0.0013393719760930072,765,0.01473309173702308
long_form,C6_llmtext,20,A3_garch,0.07404961145137948,0.07359098403165917,0.619351554628258,0.14398455804895563,-3.809808135487739,0.00015024844571157845,765,0.002253726685673677
long_form,C6_llmtext,20,A4_egarch,0.07058113670586605,0.07018157791663432,0.5660985468352796,0.14392502879508282,-3.5820839171164236,0.0003624526464293777,765,0.00497880552522793
long_form,C6_llmtext,20,A5_arima,0.06893816309905686,0.06874235369538684,0.2840362940751145,0.06821303843050347,-3.5871287357717416,0.00035562896608770927,765,0.00497880552522793
