section,arm,metric,exact,spearman,reldiff,rel_pct,dm,p,n_days
repeat,rep2,vol_5d,0.96975,0.9639011883251681,0.005892235984967652,,,,
repeat,rep2,vol_10d,0.9445,0.9538377714671235,0.006760633566640271,,,,
repeat,rep2,vol_20d,0.93575,0.9243628107604213,0.010776453592939645,,,,
agreement,para1,vol_10d,,0.578115798136789,,,,,
agreement,para2,vol_10d,,0.4129929990767757,,,,,
agreement,think,vol_10d,,0.39147407396399764,,,,,
m1,base_rep1,long_form_h5,,,,0.20430376912971715,-1.8403052633633719,0.06674866568016986,290.0
m1,base_rep1,long_form_h10,,,,4.203091551948211,-2.4680273897087046,0.014171182028695082,287.0
m1,base_rep1,long_form_h20,,,,0.43860591430762325,-1.3809901156593472,0.16836389711009717,286.0
m1,rep2,long_form_h5,,,,0.21243613545100534,-2.1162919632695107,0.03517479515936232,290.0
m1,rep2,long_form_h10,,,,4.206403890693324,-2.4099349559508445,0.016586781617257355,287.0
m1,rep2,long_form_h20,,,,0.581918313269158,-1.3243901004253447,0.18643458857189227,286.0
m1,para1,long_form_h5,,,,2.3231098389757796,-2.747865528365233,0.006375612393337964,290.0
m1,para1,long_form_h10,,,,5.9466514362830205,-1.7822394777136856,0.07577099032032275,287.0
m1,para1,long_form_h20,,,,3.14268289917938,-3.1512845755833507,0.0017986611584667022,286.0
m1,para2,long_form_h5,,,,-0.44359710314423917,1.815796766810737,0.07043773560675837,290.0
m1,para2,long_form_h10,,,,-2.1600583569040253,1.8996549369707552,0.0584842782805608,287.0
m1,para2,long_form_h20,,,,-3.76760905864004,4.00103104136986,8.04518421518007e-05,286.0
m1,think,long_form_h5,,,,-0.15298234828892354,0.18957464089386244,0.8497755362229069,290.0
m1,think,long_form_h10,,,,1.5525707057136362,-1.1609873289770083,0.24661515435577966,287.0
m1,think,long_form_h20,,,,1.3211118751264772,-1.4768905936301873,0.14080907247150817,286.0
m1,base_rep1,event_driven_h5,,,,0.81669336064303,-3.112982666375627,0.0019180586848007034,800.0
m1,base_rep1,event_driven_h10,,,,0.4513050788120619,-1.397257140205517,0.16272511496585224,798.0
m1,base_rep1,event_driven_h20,,,,0.09999358823332348,0.4317939540752545,0.6660095913760982,787.0
m1,rep2,event_driven_h5,,,,0.8885856723735737,-3.1906335222407702,0.0014750592435615693,800.0
m1,rep2,event_driven_h10,,,,0.6157583930161558,-2.32180340407632,0.02049473941258989,798.0
m1,rep2,event_driven_h20,,,,0.17073197502929782,0.005145798544128065,0.9958955706185255,787.0
m1,para1,event_driven_h5,,,,1.1312353965950162,-4.002366388367798,6.85460362940526e-05,800.0
m1,para1,event_driven_h10,,,,1.5780596552600066,-3.8795676940884816,0.00011328150901087496,798.0
m1,para1,event_driven_h20,,,,1.5790864991095206,-3.1345806496414235,0.0017849685032904205,787.0
m1,para2,event_driven_h5,,,,0.8144260494128972,-2.937641326809846,0.003402300062609048,800.0
m1,para2,event_driven_h10,,,,0.43707797908655094,-0.03109967425196081,0.9751978355393726,798.0
m1,para2,event_driven_h20,,,,-0.1559527292845649,0.9319192593641592,0.3516644108500665,787.0
m1,think,event_driven_h5,,,,0.6260670867206489,-3.3021083651573284,0.0010022421335783068,800.0
m1,think,event_driven_h10,,,,0.3905942141550476,-1.8531448989422186,0.06423101356104532,798.0
m1,think,event_driven_h20,,,,-0.5900935869624105,0.5423556347532418,0.5877272678667451,787.0
