disclosure,horizon,loss,model,block,is_benchmark,n_obs,n_days,mean_loss_common,mean_loss_diff_vs_har,mcs_p,in_mcs90,is_spa_best_challenger,arch_in_mcs90
long_form,5,qlike,A1_hv,price,False,7550,792,0.21592687143214612,-0.09984435172367764,0.0,False,False,False
long_form,5,qlike,A2_har_rv,price,True,7550,792,0.11608251970846847,0.0,0.2025,True,False,True
long_form,5,qlike,A3_garch,price,False,7550,792,0.1315848601118696,-0.015502340403401121,0.0255,False,False,False
long_form,5,qlike,A4_egarch,price,False,7550,792,0.1237641999333148,-0.007681680224846332,0.2025,True,False,True
long_form,5,qlike,A5_arima,price,False,7550,792,0.12937019760884677,-0.013287677900378297,0.0255,False,False,False
long_form,5,qlike,A6_harq,price,False,7550,792,0.11770527220078268,-0.0016227524923142084,0.2025,True,False,True
long_form,5,qlike,A6_shar,price,False,7550,792,0.11680641088887846,-0.0007238911804099829,0.2025,True,False,True
long_form,5,qlike,A7_harx_vix,price,False,7550,792,0.11381978293542105,0.002262736773047419,0.2025,True,True,True
long_form,5,qlike,B1_bow_ridge,text,False,7550,792,0.2744563412980591,-0.15837382158959065,0.0,False,False,False
long_form,5,qlike,B2_tfidf_ridge,text,False,7550,792,0.20852975486187109,-0.09244723515340261,0.0,False,False,False
long_form,5,qlike,B3_lm_linear,text,False,7550,792,0.19713487289529616,-0.08105235318682769,0.0,False,False,False
long_form,5,qlike,B4_lm_features,text,False,7550,792,0.21227880620154824,-0.09619628649307976,0.0,False,False,False
long_form,5,qlike,C1_bert_s1,text,False,7550,792,0.23559977864158685,-0.11951725893311838,0.0,False,False,False
long_form,5,qlike,C2_finbert_s1,text,False,7550,792,0.19310936807332946,-0.07702684836486098,0.0,False,False,False
long_form,5,qlike,C3_roberta_s1,text,False,7550,792,0.23548381595755996,-0.11940129624909149,0.0,False,False,False
long_form,5,qlike,C4_longformer,text,False,7550,792,0.18053895255532668,-0.0644564328468582,0.0,False,False,False
long_form,5,qlike,C5_qwen3,text,False,7550,792,0.14272325538974573,-0.026640735681277256,0.0005,False,False,False
long_form,5,qlike,C5_gteqwen2,text,False,7550,792,0.1431536997157184,-0.027071180007249923,0.0005,False,False,False
long_form,5,qlike,C5_e5mistral,text,False,7550,792,0.1492834097471797,-0.03320089003871124,0.0005,False,False,False
long_form,5,qlike,C6_llmtext,text,False,7550,792,0.19117781588995936,-0.07509529618149088,0.0,False,False,False
long_form,5,qlike,D1_concat_mlp,fusion,False,7550,792,0.12195554023345312,-0.005873020524984646,0.2025,True,False,True
long_form,5,qlike,D2_gated_fusion,fusion,False,7550,792,0.1385477881426436,-0.022465268434175123,0.0015,False,False,False
long_form,5,qlike,D3_qwen3,fusion,False,7550,792,0.1350182564145787,-0.018935736706110234,0.004,False,False,False
long_form,5,qlike,D3_e5mistral,fusion,False,7550,792,0.12952019352655772,-0.013437673818089246,0.0255,False,False,False
long_form,5,qlike,D3_gteqwen2,fusion,False,7550,792,0.126041283611545,-0.00995876390307654,0.036,False,False,False
long_form,5,qlike,D4_llmfused,fusion,False,7550,792,0.2213100773030443,-0.10522755759457583,0.0,False,False,False
long_form,5,se,A1_hv,price,False,7550,792,0.07454415296797859,-0.05355035653272934,0.001,False,False,False
long_form,5,se,A2_har_rv,price,True,7550,792,0.020993796435249245,0.0,0.2455,True,False,True
long_form,5,se,A3_garch,price,False,7550,792,0.03831533505292534,-0.017321538617676092,0.001,False,False,False
long_form,5,se,A4_egarch,price,False,7550,792,0.03803901898125311,-0.017045222546003862,0.037,False,False,False
long_form,5,se,A5_arima,price,False,7550,792,0.02944554056715559,-0.008451744131906344,0.0065,False,False,False
long_form,5,se,A6_harq,price,False,7550,792,0.021583321196005218,-0.0005895247607559731,0.2455,True,False,True
long_form,5,se,A6_shar,price,False,7550,792,0.021159425629557183,-0.00016562919430793827,0.2455,True,False,True
long_form,5,se,A7_harx_vix,price,False,7550,792,0.020487361706058197,0.0005064347291910479,0.2455,True,True,True
long_form,5,se,B1_bow_ridge,text,False,7550,792,0.0342161946081783,-0.013222398172929053,0.001,False,False,False
long_form,5,se,B2_tfidf_ridge,text,False,7550,792,0.029105933447739485,-0.00811213701249024,0.001,False,False,False
long_form,5,se,B3_lm_linear,text,False,7550,792,0.030156342698321816,-0.009162546263072571,0.001,False,False,False
long_form,5,se,B4_lm_features,text,False,7550,792,0.03153621078481474,-0.010542414349565498,0.001,False,False,False
long_form,5,se,C1_bert_s1,text,False,7550,792,0.03223248519210646,-0.011238688756857216,0.001,False,False,False
long_form,5,se,C2_finbert_s1,text,False,7550,792,0.029719632828752666,-0.008725836393503422,0.001,False,False,False
long_form,5,se,C3_roberta_s1,text,False,7550,792,0.032296380056969325,-0.01130258362172008,0.001,False,False,False
long_form,5,se,C4_longformer,text,False,7550,792,0.028151528042060784,-0.007157731606811539,0.005,False,False,False
long_form,5,se,C5_qwen3,text,False,7550,792,0.0251744173455772,-0.004180620910327955,0.037,False,False,False
long_form,5,se,C5_gteqwen2,text,False,7550,792,0.025338366310204613,-0.004344569874955368,0.037,False,False,False
long_form,5,se,C5_e5mistral,text,False,7550,792,0.025857694346725777,-0.004863897911476532,0.037,False,False,False
long_form,5,se,C6_llmtext,text,False,7550,792,0.02926342099805219,-0.008269624562802946,0.001,False,False,False
long_form,5,se,D1_concat_mlp,fusion,False,7550,792,0.021540223381206907,-0.0005464269459576621,0.2455,True,False,True
long_form,5,se,D2_gated_fusion,fusion,False,7550,792,0.02304806581975048,-0.002054269384501234,0.037,False,False,False
long_form,5,se,D3_qwen3,fusion,False,7550,792,0.022868930510360742,-0.0018751340751114974,0.037,False,False,False
long_form,5,se,D3_e5mistral,fusion,False,7550,792,0.02233275342692765,-0.0013389569916784048,0.037,False,False,False
long_form,5,se,D3_gteqwen2,fusion,False,7550,792,0.02184531522318473,-0.0008515187879354867,0.2455,True,False,True
long_form,5,se,D4_llmfused,fusion,False,7550,792,0.06397727286217914,-0.04298347642692989,0.0,False,False,False
long_form,10,qlike,A1_hv,price,False,7167,766,0.12490532123526657,-0.043672722096996616,0.0,False,False,False
long_form,10,qlike,A2_har_rv,price,True,7167,766,0.08123259913826995,0.0,0.113,True,False,True
long_form,10,qlike,A3_garch,price,False,7167,766,0.09545985002176426,-0.014227250883494302,0.113,True,False,True
long_form,10,qlike,A4_egarch,price,False,7167,766,0.08851376941472841,-0.007281170276458457,0.113,True,False,True
long_form,10,qlike,A5_arima,price,False,7167,766,0.09007174465423941,-0.008839145515969454,0.113,True,False,True
long_form,10,qlike,A6_harq,price,False,7167,766,0.0821668408476886,-0.0009342417094186511,0.113,True,False,True
long_form,10,qlike,A6_shar,price,False,7167,766,0.08140977071695468,-0.00017717157868472888,0.113,True,False,True
long_form,10,qlike,A7_harx_vix,price,False,7167,766,0.07897497799960172,0.002257621138668231,0.113,True,True,True
long_form,10,qlike,B1_bow_ridge,text,False,7167,766,0.21763202989241423,-0.1363994307541443,0.0,False,False,False
long_form,10,qlike,B2_tfidf_ridge,text,False,7167,766,0.15580655187423528,-0.07457395273596533,0.0,False,False,False
long_form,10,qlike,B3_lm_linear,text,False,7167,766,0.14951975940812662,-0.06828716026985666,0.0,False,False,False
long_form,10,qlike,B4_lm_features,text,False,7167,766,0.15407176082690874,-0.07283916168863878,0.0,False,False,False
long_form,10,qlike,C1_bert_s1,text,False,7167,766,0.14273266211752278,-0.061500062979252826,0.0015,False,False,False
long_form,10,qlike,C2_finbert_s1,text,False,7167,766,0.17489887802931794,-0.09366627889104799,0.0,False,False,False
long_form,10,qlike,C3_roberta_s1,text,False,7167,766,0.1524957000020392,-0.07126310086376923,0.0,False,False,False
long_form,10,qlike,C4_longformer,text,False,7167,766,0.14279786423359087,-0.06156526509532091,0.0015,False,False,False
long_form,10,qlike,C5_qwen3,text,False,7167,766,0.10759288367765026,-0.026360284539380302,0.0015,False,False,False
long_form,10,qlike,C5_gteqwen2,text,False,7167,766,0.10781098989564866,-0.02657839075737871,0.0015,False,False,False
long_form,10,qlike,C5_e5mistral,text,False,7167,766,0.1056913658279475,-0.024458766689677544,0.0015,False,False,False
long_form,10,qlike,C6_llmtext,text,False,7167,766,0.16396962293058848,-0.08273702379231852,0.0,False,False,False
long_form,10,qlike,D1_concat_mlp,fusion,False,7167,766,0.09815091676584042,-0.01691831762757047,0.0395,False,False,False
long_form,10,qlike,D2_gated_fusion,fusion,False,7167,766,0.0919160556419044,-0.010683456503634448,0.113,True,False,True
long_form,10,qlike,D3_qwen3,fusion,False,7167,766,0.0946634116246019,-0.013430812486331947,0.113,True,False,True
long_form,10,qlike,D3_e5mistral,fusion,False,7167,766,0.09016897784488426,-0.008936378706614304,0.113,True,False,True
long_form,10,qlike,D3_gteqwen2,fusion,False,7167,766,0.0865841054081117,-0.005351506269841752,0.113,True,False,True
long_form,10,qlike,D4_llmfused,fusion,False,7167,766,0.12789315344803745,-0.046660554309767496,0.0015,False,False,False
long_form,10,se,A1_hv,price,False,7167,766,0.05299720020625967,-0.036338644208717456,0.004,False,False,False
long_form,10,se,A2_har_rv,price,True,7167,766,0.016658555997542214,0.0,0.577,True,False,True
