block,disc,arm,h,n_test,qlike_R,qlike_U,rel_pct,dm_clu,p_raw,n_days,g_text,repro_frac_vs_fulltext,p_holm,stratum
variant,long_form,fulltext,5,7951,0.12086879176314268,0.11870011808317307,1.7942379073494739,-6.307719290334443,4.659791337986909e-10,809,0.2538018365573886,,7.921645274577746e-09,
variant,long_form,datefirm,5,7951,0.12086879176314268,0.12020647567035678,0.5479628638001034,-4.524294170166337,6.968804687303339e-06,809,0.1595738231290266,0.3054014529263725,9.05944609349434e-05,
variant,long_form,dateonly,5,7951,0.12086879176314268,0.1208687917631427,-2.2963392957562933e-14,-0.9346841709602237,0.3502303302920396,809,-0.09922484292208676,-1.279841032423925e-14,1.0,
variant,long_form,fulltext,10,7933,0.08729339051016716,0.08532792666865498,2.2515608914093677,-7.915564732409046,8.178987052933856e-15,803,0.33330197238689635,,1.4722176695280943e-13,
variant,long_form,datefirm,10,7933,0.08729339051016716,0.08657101703964126,0.8275236719574534,-5.724654104718007,1.4644886650458188e-08,803,0.2394558312715118,0.3675333299289382,2.196732997568728e-07,
variant,long_form,dateonly,10,7933,0.08729339051016716,0.08772533645207617,-0.4948209015420279,3.4623356231416174,0.0005638610856861619,803,-0.14488098267777355,-0.2197679411780394,0.005638610856861619,
variant,long_form,fulltext,20,7902,0.07008297694567736,0.0698903875209033,0.2748020035212486,-3.232306764547454,0.0012786846389931377,794,0.07796998798708187,,0.01150816175093824,
variant,long_form,datefirm,20,7902,0.07008297694567736,0.06930364903808332,1.1120074254238796,-5.816134407568822,8.731396102526073e-09,794,0.11125947153164595,4.046576848694247,1.3970233764041717e-07,
variant,long_form,dateonly,20,7902,0.07008297694567736,0.07123630346372961,-1.6456585726177346,4.34449048505745,1.5772890604756644e-05,794,-0.10420409160963061,-5.988524652406643,0.00018927468725707971,
variant,event_driven,fulltext,5,25109,0.12651030538164326,0.12497435605435062,1.2140902851029822,-5.0439839407429234,5.416951736540807e-07,996,0.263831543378711,,7.58373243115713e-06,
variant,event_driven,datefirm,5,25109,0.12651030538164326,0.12532634875998536,0.935857848169971,-2.783261989574256,0.00548344831492184,996,0.36829377587255085,0.7708305219579195,0.04386758651937472,
variant,event_driven,dateonly,5,25109,0.12651030538164326,0.12651243926732827,-0.0016867287440146,0.9523360631752215,0.34115785449082997,996,-0.1052975384823622,-0.0013892943257276186,1.0,
variant,event_driven,fulltext,10,25001,0.08827666934766872,0.08739537415940904,0.9983330757403002,-3.7577488053092245,0.00018146916177931644,991,0.2805682658252092,,0.001996160779572481,
variant,event_driven,datefirm,10,25001,0.08827666934766872,0.08764586917126363,0.7145717901076933,-1.235651279450542,0.21688133916413624,991,0.3202817977600415,0.7157649160104331,1.0,
variant,event_driven,dateonly,10,25001,0.08827666934766872,0.08861834907904415,-0.38705553109367885,1.6443459838200158,0.10042223414030034,991,-2.432313551728993,-0.38770180063067944,0.6025334048418021,
variant,event_driven,fulltext,20,24732,0.06453886888282268,0.06411404556768242,0.6582441286840103,-1.9823432496516546,0.047719784499897465,981,0.24452581697318196,,0.3340384914992823,
variant,event_driven,datefirm,20,24732,0.06453886888282268,0.06453306947300333,0.00898591797429137,0.11855416002270501,0.9056528795472606,981,0.31641490563865615,0.013651345424464932,1.0,
variant,event_driven,dateonly,20,24732,0.06453886888282268,0.06453601076389914,0.004428523420082533,-0.6874553636685744,0.49195847799913467,981,-0.07077662730735765,0.00672778263732671,1.0,
joint,long_form,beyond_identity,5,7951,0.12020647567035678,0.11840636355942939,1.497516752644714,-5.827125465744046,8.142431592042266e-09,809,0.24112175058347385,,4.071215796021133e-08,
joint,long_form,beyond_identity,10,7933,0.08657101703964126,0.08488536323566473,1.9471341121066705,-7.12747237743084,2.280771100258476e-12,803,0.3211589476906559,,1.3684626601550857e-11,
joint,long_form,beyond_identity,20,7902,0.06930364903808332,0.06918440796373931,0.17205598262002708,-2.50798752005914,0.01234077815747217,794,0.06976565041571957,,0.02468155631494434,
joint,event_driven,beyond_identity,5,25109,0.12532634875998536,0.12436649182259676,0.7658859823857399,-3.794691775927421,0.0001567525618032936,996,0.23250346296655017,,0.0006270102472131744,
joint,event_driven,beyond_identity,10,25001,0.08764586917126363,0.08704716066991795,0.6830995082903173,-2.8538438180389054,0.004409431127249617,991,0.24530133815942842,,0.013228293381748852,
joint,event_driven,beyond_identity,20,24732,0.06453306947300333,0.06412675206449474,0.6296266578154469,-2.011188233693442,0.04457900732535804,981,0.21360578587353124,,0.04457900732535804,
cutoff,long_form,fulltext_vs_har,5,4957,0.11332702877557559,0.11191298655527807,1.2477537226337987,-4.95263589003904,1.004989115782811e-06,498,,,2.210976054722184e-05,pre
cutoff,long_form,beyond_identity,5,4957,0.11286265594119016,0.11170045375623805,1.0297491010292226,-4.612659853505719,5.064013711950832e-06,498,,,0.00010634428795096747,pre
cutoff,long_form,fulltext_vs_har,5,2994,0.1333552710982696,0.12993719590006542,2.5631346778076836,-4.005924859823375,7.739974335738248e-05,311,,,0.0013157956370755022,post
cutoff,long_form,beyond_identity,5,2994,0.13236523131413727,0.1295089670645796,2.1578659450071265,-3.620818734844928,0.0003429236062257475,311,,,0.00548677769961196,post
cutoff,long_form,fulltext_vs_har,10,4956,0.08478620828797556,0.08333800745610903,1.7080617957908084,-6.433725181212168,2.936640749328542e-10,497,,,7.0479377983885005e-09,pre
cutoff,long_form,beyond_identity,10,4956,0.08411056441810674,0.08290026534027942,1.4389382430143116,-5.606798755737783,3.426498422143526e-08,497,,,7.88094637093011e-07,pre
cutoff,long_form,fulltext_vs_har,10,2977,0.0914672551702886,0.08864067091365928,3.09026902727861,-4.6341164940174355,5.318783297306137e-06,306,,,0.00010637566594612273,post
cutoff,long_form,beyond_identity,10,2977,0.09066708798096643,0.0881900811293596,2.731980155937978,-4.320928574788516,2.1051291788170088e-05,306,,,0.0003789232521870616,post
cutoff,long_form,fulltext_vs_har,20,4949,0.06745998107209232,0.06738655796055056,0.10883950806819828,-1.5149176579999797,0.13043023631185588,497,,,0.5217209452474235,pre
cutoff,long_form,beyond_identity,20,4949,0.06696392887114205,0.06692848669975647,0.05292725797762539,-0.9427999764885182,0.34624220435672104,497,,,0.9821916466582344,pre
cutoff,long_form,fulltext_vs_har,20,2953,0.07447891550929817,0.07408661254433226,0.5267302326883823,-3.0447594423889623,0.0025380199881201155,297,,,0.03553227983368162,post
cutoff,long_form,beyond_identity,20,2953,0.07322483938897807,0.07296515782335705,0.35463589649075783,-2.5044784897371133,0.012800888634226612,297,,,0.12800888634226612,post
cutoff,event_driven,fulltext_vs_har,5,15804,0.11778217525825195,0.11676270674278567,0.8655541581151527,-2.7816957888342597,0.005570960454255613,625,,,0.06685152545106736,pre
cutoff,event_driven,beyond_identity,5,15804,0.11699346039781507,0.11635001598206757,0.5499832328743698,-2.2796689810368487,0.02296399160487699,625,,,0.1837119328390159,pre
cutoff,event_driven,fulltext_vs_har,5,9305,0.14133452552888406,0.13892136365456254,1.7074114518666277,-4.523205157271691,8.209399719947121e-06,372,,,0.00015597859467899529,post
cutoff,event_driven,beyond_identity,5,9305,0.13947927381917286,0.13798200866125598,1.0734678471713244,-3.0886231372172204,0.0021623522036695857,372,,,0.032435283055043784,post
cutoff,event_driven,fulltext_vs_har,10,15786,0.08093030544165276,0.08036015209122017,0.7044991951051579,-2.248651810104373,0.024882757314124215,625,,,0.1837119328390159,pre
cutoff,event_driven,beyond_identity,10,15786,0.08048318966280214,0.08010448662233308,0.47053681899997596,-2.1335796283678348,0.03326657456582123,625,,,0.19959944739492738,pre
cutoff,event_driven,fulltext_vs_har,10,9215,0.10086155275736682,0.09944724779678603,1.4022240605228908,-3.0284385041806123,0.0026325988148809525,367,,,0.03553227983368162,post
cutoff,event_driven,beyond_identity,10,9215,0.099916087155048,0.09894049246754956,0.976414024284731,-1.9873390895589054,0.04762978708625282,367,,,0.23814893543126409,post
cutoff,event_driven,fulltext_vs_har,20,15751,0.058507973394141495,0.05820746869044447,0.5136132500653566,-2.4640428500927225,0.014006499944973534,625,,,0.12800888634226612,pre
cutoff,event_driven,beyond_identity,20,15751,0.05838317428759613,0.0581139007621827,0.4612176859157816,-2.602613375197597,0.009471402996465575,625,,,0.10418543296112133,pre
cutoff,event_driven,fulltext_vs_har,20,8981,0.07511593545026699,0.07447308046283607,0.8558170560979523,-0.9642866182032876,0.33555680548791106,357,,,0.9821916466582344,post
cutoff,event_driven,beyond_identity,20,8981,0.07531883932773537,0.07467217249236656,0.8585724914784737,-0.980719241218189,0.3273972155527448,357,,,0.9821916466582344,post
