disc,h,ref,stratum,n_test,n_days,qlike_R,qlike_U,rel_pct,dm_clu,p_raw,mean_daily_d,ci_lo,ci_hi,qlike_R_daily,rel_daily_pct,rel_ci_lo,rel_ci_hi,p_holm,diff_daily_d,diff_ci_lo,diff_ci_hi
long_form,5,fulltext_vs_har,full,7951,809,0.12086879176314268,0.11870011808317307,1.7942379073494739,-6.307719290334443,4.659791337986909e-10,-0.003040554563964982,-0.004063258574866477,-0.0021767124504296262,0.1173200097433288,2.591676024078985,1.8553633392903814,3.4633977475419764,7.921645274577746e-09,,,
long_form,5,fulltext_vs_har,pre,4957,498,0.11332702877557559,0.11191298655527807,1.2477537226337987,-4.95263589003904,1.004989115782811e-06,-0.0033642530532567725,-0.004800185640490111,-0.0022242101507303864,0.10931669495080512,3.0775290588237776,2.034648185925607,4.391081931858897,2.210976054722184e-05,,,
long_form,5,fulltext_vs_har,post,2994,311,0.1333552710982696,0.12993719590006542,2.5631346778076836,-4.005924859823375,7.739974335738248e-05,-0.002522220648636005,-0.0037484524999105337,-0.0013145233152648834,0.130135607063833,1.9381479869677996,1.010118095211324,2.8804203434282787,0.0013157956370755022,0.0008420324046207674,-0.0007920042939634676,0.0027013636697192536
long_form,5,beyond_identity,full,7951,809,0.12020647567035678,0.11840636355942939,1.497516752644714,-5.827125465744046,8.142431592042266e-09,-0.002581237546638919,-0.0035341694163195736,-0.001783376350014776,0.1165437793166628,2.2148222425715245,1.5302201116793528,3.0324822457634832,4.0712157960211334e-08,,,
long_form,5,beyond_identity,pre,4957,498,0.11286265594119016,0.11170045375623805,1.0297491010292226,-4.612659853505719,5.064013711950832e-06,-0.0028684462694317605,-0.004188582157419012,-0.001829547630963101,0.10850572905246476,2.6435896928952083,1.6861299831260308,3.860240555034422,0.00010634428795096747,,,
long_form,5,beyond_identity,post,2994,311,0.13236523131413727,0.1295089670645796,2.1578659450071265,-3.620818734844928,0.0003429236062257475,-0.0021213341898838212,-0.00326931517605285,-0.0009688985318882155,0.12941499806769374,1.6391718282715613,0.7486756143838977,2.526225881750393,0.00548677769961196,0.0007471120795479393,-0.0007652853320760602,0.0024760052440559173
long_form,10,fulltext_vs_har,full,7933,803,0.08729339051016716,0.08532792666865498,2.2515608914093677,-7.915564732409046,8.178987052933856e-15,-0.002666465724525951,-0.003327769234482759,-0.0020203912709668903,0.0852733955543121,3.126960885271225,2.369310214321263,3.902470650841206,1.4722176695280945e-13,,,
long_form,10,fulltext_vs_har,pre,4956,497,0.08478620828797556,0.08333800745610903,1.7080617957908084,-6.433725181212168,2.936640749328542e-10,-0.0025003661859596044,-0.0032888360086875046,-0.0018079756449912137,0.07857093832801525,3.182304092540122,2.301074269271597,4.185817401031136,7.0479377983885005e-09,,,
long_form,10,fulltext_vs_har,post,2977,306,0.0914672551702886,0.08864067091365928,3.09026902727861,-4.6341164940174355,5.318783297306137e-06,-0.002936241772458874,-0.004100445864217679,-0.0016478731408263686,0.09615941268329753,3.05351466957211,1.7136888577446532,4.264216835144947,0.00010637566594612273,-0.00043587558649926935,-0.0017898519117718148,0.001060736380950561
long_form,10,beyond_identity,full,7933,803,0.08657101703964126,0.08488536323566473,1.9471341121066705,-7.12747237743084,2.280771100258476e-12,-0.0022662377134517156,-0.0028952571555507086,-0.001662909899602205,0.08419579713210475,2.6916280748502768,1.9750509600771031,3.4387193353701457,1.3684626601550855e-11,,,
