family,item_group,kind,horizon,is_partition,n_test,n_days,share_of_filings_pct,rel_firm_pct,dm_firm,p_firm,p_firm_holm,share_of_pooled_residual_pct,abs_reduction_firm,rel_har_pct,dm_har,p_har,g_text
qwen3_32b,ALL,pooled,5,False,25109,996,100.0,0.44807111782502207,-5.259870537069428,1.7648661847955115e-07,,100.0,13.963956281171033,1.2140902851029833,-5.0439839407429234,5.416951736540807e-07,0.263831543378711
qwen3_32b,2.02_earnings,earnings,5,True,8348,821,33.24704289298658,0.9881059105330655,-5.480658303679231,5.642079688166672e-08,1.015574343870001e-06,64.67599415269073,9.031327547894467,2.8900687188877416,-6.0412033563072205,2.3187198158707715e-09,0.263831543378711
qwen3_32b,5.02_leadership,narrative,5,True,4706,978,18.742283643315147,0.1759824066133146,-1.3303798706530199,0.1837035857545692,1.0,8.178547011763689,1.1420487291577015,0.3655083769721873,-0.7827858575701176,0.433942564842918,0.263831543378711
qwen3_32b,7.01_regFD,narrative,5,True,3343,932,13.313951172886217,0.37639957661689755,-1.4829998482672049,0.13841287303536132,0.9688901112475292,11.21444416606991,1.5659800805263375,0.7092161044154658,-1.230376366048719,0.21886698084163697,0.263831543378711
qwen3_32b,8.01_other_events,narrative,5,True,4951,989,19.718029391851527,0.3027354410793031,-1.740651590419125,0.08205598557009783,0.6564478845607826,13.924961569712123,1.9444755457644682,0.8644158385239814,-2.023103621706616,0.04333135288494619,0.263831543378711
qwen3_32b,5.07_shareholder_vote,procedural,5,True,1426,406,5.679238520052571,-0.01979416431875884,0.5220333354728678,0.6019325122179779,1.0,-0.2760173112328669,-0.03854293666902131,0.20159110788752077,0.31021474721482095,0.7565572258061807,0.263831543378711
qwen3_32b,other_narrative,narrative,5,True,2335,884,9.299454378907962,0.10606790770395925,-0.2942330933415923,0.7686489464683777,1.0,2.282070410996409,0.31866731449707864,0.06174529807825255,-0.025287540349725374,0.979831325626944,0.263831543378711
qwen3_32b,narrative_ALL,narrative,5,False,16761,996,66.75295710701342,0.22396039567386647,-2.962251346708601,0.003126596231920782,,35.32400584730926,4.932628733276564,0.5214294400419035,-2.5145827195484713,0.012074106326135805,0.263831543378711
qwen3_32b,ALL,pooled,10,False,25001,991,100.0,0.2527726804253586,-5.1626009604784535,2.943014477147498e-07,,100.0,5.488747254054881,0.99833307574032,-3.7577488053092245,0.00018146916177931644,0.2805682658252092
qwen3_32b,2.02_earnings,earnings,10,True,8331,817,33.32266709331627,0.32754658555950145,-2.816709203516433,0.004968972503160607,0.06459664254108789,35.325391073463855,1.9389214325288955,1.6325912169432029,-2.985309426670441,0.00291754069855936,0.2805682658252092
qwen3_32b,5.02_leadership,narrative,10,True,4681,973,18.7232510699572,0.13073326517472714,-1.873377898812548,0.061316120803963085,0.5518450872356677,11.00003034972581,0.603763863765779,0.40756323029974256,-1.0551101414404054,0.29163713931686003,0.2805682658252092
qwen3_32b,7.01_regFD,narrative,10,True,3319,927,13.275468981240751,0.3208274016344657,-3.559154364813057,0.000390955393917512,0.006255286302680192,18.057507048506654,0.9911309222756757,0.8426822421778423,-2.2837690417001575,0.02261078993948056,0.2805682658252092
qwen3_32b,8.01_other_events,narrative,10,True,4920,984,19.67921283148674,0.2763175331740396,-2.886460222082349,0.003981295118871701,0.05573813166420381,22.56717480270482,1.238655187301226,1.1589681357201327,-2.6962262253426617,0.007132851611003179,0.2805682658252092
qwen3_32b,5.07_shareholder_vote,procedural,10,True,1424,405,5.695772169113235,0.22224426406252867,-1.9279105489129755,0.05456685495584211,0.5456685495584211,5.0823888365259755,0.27895947770521135,1.0534607604320978,-1.6931378174495644,0.09120011245869901,0.2805682658252092
qwen3_32b,other_narrative,narrative,10,True,2326,882,9.303627854885805,0.18616073485517615,-1.3190543054820965,0.18749369314671802,1.0,7.967507889072885,0.437316370478094,0.45885304415247896,-0.7084920994878732,0.4788271315502071,0.2805682658252092
qwen3_32b,narrative_ALL,narrative,10,False,16670,991,66.67733290668373,0.2247488422514176,-4.54335716456819,6.219148148071145e-06,,64.67460892653615,3.549825821525986,0.7666203847590086,-3.077268006586588,0.0021465248863763637,0.2805682658252092
qwen3_32b,ALL,pooled,20,False,24732,981,100.0,0.1958688162845859,-3.7939674086382325,0.000157343927577265,,100.0,3.133955383219103,0.6582441286840165,-1.9823432496516546,0.047719784499897465,0.24452581697318196
qwen3_32b,2.02_earnings,earnings,20,True,8305,811,33.57997735726993,0.25288697923948467,-3.7037805794535665,0.00022682011646753066,0.003855941979948021,36.29615101540332,1.1375051786485675,1.4036962375082578,-4.050381164348381,5.604973584834148e-05,0.24452581697318196
qwen3_32b,5.02_leadership,narrative,20,True,4610,963,18.63981885815947,0.0652175614516805,-1.114164002115405,0.2654871194780173,1.0,6.941833637593157,0.21755396897946522,-0.12999482273261187,0.41274327650530396,0.6798866842264563,0.24452581697318196
qwen3_32b,7.01_regFD,narrative,20,True,3269,917,13.21769367620896,0.27869840879866187,-3.333917392710497,0.0008906656151008526,0.01335998422651279,20.226457946200924,0.6338881676395118,0.6904056793852307,-1.6206407878743438,0.10543886619643245,0.24452581697318196
qwen3_32b,8.01_other_events,narrative,20,True,4842,974,19.57787481804949,0.2386301235118194,-2.719781038119277,0.006648901225092772,0.0731379134760205,24.9337974329246,0.781414086890087,1.0667930893162243,-2.5120849166443384,0.012162917066988257,0.24452581697318196
qwen3_32b,5.07_shareholder_vote,procedural,20,True,1415,403,5.721332686398188,-0.17913120049407616,0.9972681970011972,0.3192342442205422,1.0,-5.001136283261575,-0.1567333797713999,-1.9792853592294428,2.665588283682007,0.007995172188070745,0.24452581697318196
qwen3_32b,other_narrative,narrative,20,True,2291,872,9.263302603913958,0.2986310831828039,-2.7534840466788455,0.006019225404008083,0.07223070484809699,16.60289625113957,0.5203273608328711,0.8611392159967798,-1.7986982449309106,0.0724125338546451,0.24452581697318196
qwen3_32b,narrative_ALL,narrative,20,False,16427,981,66.42002264273006,0.17357115993472225,-3.612156877053106,0.0003190718609051626,,63.703848984596675,1.9964502045705352,0.38188504637698706,-1.6083359559377466,0.10808370507567001,0.24452581697318196
llama70_awq,ALL,pooled,5,False,25109,996,100.0,0.8321161189542153,-2.580697694464581,0.010002353438789417,,99.99999999999999,25.93256437133715,1.3912713171552404,-3.2202350553508756,0.0013223456605036177,0.1602458892580191
llama70_awq,2.02_earnings,earnings,5,True,8348,821,33.24704289298658,2.8179554397614885,-5.16966896650938,2.948412067703775e-07,5.3071417218667955e-06,99.32000967115209,25.7562254415898,4.838909911042735,-6.566657531790523,9.127648852151098e-11,0.1602458892580191
llama70_awq,5.02_leadership,narrative,5,True,4706,978,18.742283643315147,0.13215631816156156,-0.2461611996091084,0.8056091554637541,1.0,3.3071801192115466,0.857636613290599,-0.17741368802224064,0.5602199695078186,0.5754578371302246,0.1602458892580191
llama70_awq,7.01_regFD,narrative,5,True,3343,932,13.313951172886217,0.2911817175547424,-0.7918340890025529,0.42865912158473984,1.0,4.671493469292266,1.211438051027028,0.2945668992155308,-0.938923020185696,0.3480137914549779,0.1602458892580191
llama70_awq,8.01_other_events,narrative,5,True,4951,989,19.718029391851527,0.009874194957101342,0.09752290799663949,0.9223309227044094,1.0,0.24456564622383498,0.06342214363717269,0.44971742006522425,-0.990019860605988,0.32240680406349415,0.1602458892580191
llama70_awq,5.07_shareholder_vote,procedural,5,True,1426,406,5.679238520052571,-0.6847746753643904,1.0786663116949335,0.28137851234029143,1.0,-5.141736971846806,-1.3333842500290143,-1.0630852930172061,1.4458254653217075,0.14899953504676133,0.1602458892580191
llama70_awq,other_narrative,narrative,5,True,2335,884,9.299454378907962,-0.20728920949530158,0.6644474655648323,0.5065774356538301,1.0,-2.401511934032937,-0.6227736281784351,-0.5496868006530009,0.9943719798466216,0.32031421347103933,0.1602458892580191
llama70_awq,narrative_ALL,narrative,5,False,16761,996,66.75295710701342,0.008006468480486806,-0.19429980951737863,0.8459807962778004,,0.6799903288478998,0.17633892974734877,-0.03359442918645311,-0.13095339533104244,0.8958386464974143,0.1602458892580191
llama70_awq,ALL,pooled,10,False,25001,991,100.0,0.6395290914792798,-1.9981293590332565,0.04597580507018147,,100.0,13.886839111086783,1.1684227927052113,-2.347928338533547,0.019074190129949622,0.13911326069023258
llama70_awq,2.02_earnings,earnings,10,True,8331,817,33.32266709331627,1.3031790237796304,-1.5954731482521796,0.11099366744767612,1.0,55.55047945238951,7.714205706990653,3.096015418299376,-3.0931099670603825,0.0020481716863487514,0.13911326069023258
llama70_awq,5.02_leadership,narrative,10,True,4681,973,18.7232510699572,0.10845298828079698,-0.13976214316646063,0.8888768788908769,1.0,3.606775633852412,0.500867129370965,-0.2987638929401264,0.6038292041561641,0.5460980928489617,0.13911326069023258
llama70_awq,7.01_regFD,narrative,10,True,3319,927,13.275468981240751,0.8485922531426626,-2.517071185134557,0.012001380675674585,0.20402347148646793,18.877967355088185,2.6215529540445814,1.1673327424552575,-2.8144732140973407,0.004989290392857977,0.13911326069023258
llama70_awq,8.01_other_events,narrative,10,True,4920,984,19.67921283148674,0.31334123775829964,-0.8367990844741927,0.4029088910966274,1.0,10.114772832298094,1.4046222296731519,0.8209277601851331,-1.7207777020853563,0.08560584983200763,0.13911326069023258
llama70_awq,5.07_shareholder_vote,procedural,10,True,1424,405,5.695772169113235,1.0454066682679737,-0.09856972125234581,0.921528799142685,1.0,9.449143017099836,1.3121872881611456,1.2285149321183186,0.339744899046554,0.7342252014185203,0.13911326069023258
llama70_awq,other_narrative,narrative,10,True,2326,882,9.303627854885805,0.14192630583099505,-0.14030254621160992,0.8884530226127936,1.0,2.4008617092719593,0.3334038028462851,-0.062186563915723775,0.19957849280290116,0.841856303704761,0.13911326069023258
llama70_awq,narrative_ALL,narrative,10,False,16670,991,66.67733290668373,0.3908057130016221,-1.2135737279798782,0.2251999915140919,,44.44952054761048,6.172633404096128,0.4642179187321652,-0.8791905818492788,0.3795112946646436,0.13911326069023258
llama70_awq,ALL,pooled,20,False,24732,981,100.0,0.38775506062177995,-1.3381712703374584,0.18115101054870786,,100.0,6.204188510745132,0.7049194340085079,-0.8972694187983848,0.3697955396164125,0.11222176998873327
llama70_awq,2.02_earnings,earnings,20,True,8305,811,33.57997735726993,-0.35366356710721836,0.9991732376553806,0.31800916794276185,1.0,-25.640840172768343,-1.5908060600574156,0.37918547610682835,0.09776830767930632,0.9221404605657165,0.11222176998873327
llama70_awq,5.02_leadership,narrative,20,True,4610,963,18.63981885815947,0.3290486454391672,-0.7422297618958412,0.4581293198560165,1.0,17.692026325875684,1.0976466646279832,-0.057111623980849784,0.13582281910867403,0.8919897665626781,0.11222176998873327
llama70_awq,7.01_regFD,narrative,20,True,3269,917,13.21769367620896,0.6902845574244678,-2.020237038144893,0.04364944836035792,0.6983911737657267,25.305873260603136,1.5700240813780642,1.2760317481111643,-2.585514234223978,0.009876835322475033,0.11222176998873327
llama70_awq,8.01_other_events,narrative,20,True,4842,974,19.57787481804949,0.5084530363463104,-1.6056594058309588,0.10867324254421139,1.0,26.83625007271452,1.6649715437261863,0.5274042253433852,-0.8451630176293908,0.3982276000659361,0.11222176998873327
llama70_awq,5.07_shareholder_vote,procedural,20,True,1415,403,5.721332686398188,2.9862075965005945,-1.997859725492968,0.04640518306496815,0.6983911737657267,42.11388172284074,2.6128246112772793,4.939297064940626,-1.7870477577532558,0.07468308984620019,0.11222176998873327
llama70_awq,other_narrative,narrative,20,True,2291,872,9.263302603913958,0.48756876405264415,-0.5158409553568696,0.6060964086523581,1.0,13.69280879073426,0.8495276697930343,0.41766882102800895,0.12270079795044396,0.9023723372037141,0.11222176998873327
llama70_awq,narrative_ALL,narrative,20,False,16427,981,66.42002264273006,0.6776959656903173,-2.4707119291949717,0.013653659558399436,,125.64084017276834,7.794994570802547,0.8256777451278193,-1.3732788691201552,0.1699797678994111,0.11222176998873327
