basis,panel,disc,model,h,n_seeds,seeds,n_test,n_firms,n_days,dm_day,p_day,holm_day,placebo_dm_day,genuine_day,dm_2way,p_2way,holm_2way,placebo_dm_2way,genuine_2way,hurts_day,hurts_2way,guard_hit,se_infl_2way_vs_day,rel_impr_pct_firm,fam12_holm_day,fam12_holm_2way,fam12_survives_day,fam12_survives_2way
s26,A_singleHAR,long_form,B1_bow_ridge,5,1,2026,7951,568,809,-3.8343062389023346,0.00013571202045885167,0.005835616879730622,0.4266040577339112,True,-3.350578691729176,0.0008600706377215716,0.038703178697470725,0.4329595617161538,True,False,False,False,1.1507726484535485,,,,,
s26,B_firmref,long_form,B1_bow_ridge,5,1,2026,7550,568,792,2.577260531090889,0.010138707775586564,0.26360640216525066,,False,2.122364330638126,0.03423998696295262,0.8902396610367681,,False,False,False,False,1.2212739439477072,-0.13846094021214841,,,,
s26,A_singleHAR,long_form,B1_bow_ridge,10,1,2026,7933,568,803,-4.14759093241594,3.718297815318565e-05,0.0016360510387401685,0.3876537309612839,True,-3.7369778092458295,0.00020511203060502237,0.009845377469041074,0.36215703987691966,True,False,False,False,1.1231663868625412,,,,,
s26,B_firmref,long_form,B1_bow_ridge,10,1,2026,7167,568,766,1.5442329990067878,0.1229454455828611,1.0,,False,1.4702064757268936,0.14206051853495483,1.0,,False,False,False,False,1.0635414719682963,-2.7204936922898173,,,,
s26,A_singleHAR,long_form,B1_bow_ridge,20,1,2026,7902,567,794,-5.446405777397618,6.860604581652476e-08,3.910544611541911e-06,-0.24844069597837323,True,-4.33991614703584,1.688419874507128e-05,0.0008948625334887779,-0.16205124039030236,True,False,False,False,1.2865534304833273,,,,,
s26,B_firmref,long_form,B1_bow_ridge,20,1,2026,7097,567,765,4.2774053810582195,2.130699922492937e-05,0.0010866569604713978,,False,3.555264137838649,0.0004091767625087287,0.020868014887945166,,False,True,True,False,1.2345890603506064,-4.984587316943238,,,,
ens,A_singleHAR,long_form,B1_bow_ridge,5,1,2026,7951,568,809,-3.8343062389023346,0.00013571202045885167,0.0050213447569775116,0.4266040577339112,True,-3.350578691729176,0.0008600706377215716,0.03698303742202758,0.4329595617161538,True,False,False,False,1.1507726484535485,,,,,
ens,B_firmref,long_form,B1_bow_ridge,5,1,2026,7550,568,792,2.577260531090889,0.010138707775586564,0.19263544773614472,,False,2.122364330638126,0.03423998696295262,0.7532797131849577,,False,False,False,False,1.2212739439477072,-0.13846094021214841,,,,
ens,A_singleHAR,long_form,B1_bow_ridge,10,1,2026,7933,568,803,-4.14759093241594,3.718297815318565e-05,0.0014501361479742404,0.3876537309612839,True,-3.7369778092458295,0.00020511203060502237,0.009230041377226007,0.36215703987691966,True,False,False,False,1.1231663868625412,,,,,
ens,B_firmref,long_form,B1_bow_ridge,10,1,2026,7167,568,766,1.5442329990067878,0.1229454455828611,1.0,,False,1.4702064757268936,0.14206051853495483,1.0,,False,False,False,False,1.0635414719682963,-2.7204936922898173,,,,
ens,A_singleHAR,long_form,B1_bow_ridge,20,1,2026,7902,567,794,-5.446405777397618,6.860604581652476e-08,3.636120428275812e-06,-0.24844069597837323,True,-4.33991614703584,1.688419874507128e-05,0.0008287393686109346,-0.16205124039030236,True,False,False,False,1.2865534304833273,,,,,
ens,B_firmref,long_form,B1_bow_ridge,20,1,2026,7097,567,765,4.2774053810582195,2.130699922492937e-05,0.001044042962021539,,False,3.555264137838649,0.0004091767625087287,0.020049661362927705,,False,True,True,False,1.2345890603506064,-4.984587316943238,,,,
s26,A_singleHAR,long_form,B2_tfidf_ridge,5,1,2026,7951,568,809,-5.3907848396946605,9.213613664235412e-08,5.067487515329477e-06,0.5067196653293575,True,-4.825847363721036,1.7946852624769611e-06,0.00010588643048614071,0.48979528629575186,True,False,False,False,1.1233134886138478,,,,,
s26,B_firmref,long_form,B2_tfidf_ridge,5,1,2026,7550,568,792,4.190516371471096,3.096922349164898e-05,0.0015174919510908002,,False,3.4581562534878074,0.0005847014731948997,0.029235073659744985,,False,True,True,False,1.2187023141402606,-0.6147533787598136,,,,
s26,A_singleHAR,long_form,B2_tfidf_ridge,10,1,2026,7933,568,803,-8.89254432852136,3.901005011622187e-18,2.613673357786865e-16,0.32827969728391804,True,-7.055352410916256,5.040417573802238e-12,3.3770797744474997e-10,0.3899343031353541,True,False,False,False,1.275486974243793,,,,,
s26,B_firmref,long_form,B2_tfidf_ridge,10,1,2026,7167,568,766,7.022506519527929,4.816848945947461e-12,3.2272887937847986e-10,,False,6.023887547952046,3.064406534507623e-09,2.0531523781201075e-07,,False,True,True,False,1.1804163796198197,-3.892169412007764,,,,
s26,A_singleHAR,long_form,B2_tfidf_ridge,20,1,2026,7902,567,794,-9.041621963712146,1.1651051953355876e-18,7.922715328281996e-17,0.29793310268116374,True,-6.822941882898876,2.2992067482756568e-11,1.5174764538619335e-09,0.3814257917605687,True,False,False,False,1.3585444223059366,,,,,
s26,B_firmref,long_form,B2_tfidf_ridge,20,1,2026,7097,567,765,8.148036436520531,1.5077881703534382e-15,1.025295955840338e-13,,False,6.1940504948484,1.12843370797647e-09,7.673349214239995e-08,,False,True,True,False,1.3498704987377292,-8.089490036358773,,,,
ens,A_singleHAR,long_form,B2_tfidf_ridge,5,1,2026,7951,568,809,-5.3907848396946605,9.213613664235412e-08,4.791079105402414e-06,0.5067196653293575,True,-4.825847363721036,1.7946852624769611e-06,0.00010229705996118679,0.48979528629575186,True,False,False,False,1.1233134886138478,,,,,
