disc,model,h,n_test,qlike_raw,qlike_R,qlike_U,rel_impr_pct,g_log,recal_b,cw_t,cw_p,dm_q,p_q,dm_se,p_se,boot_lo,boot_hi,placebo_dq,placebo_dm,lev_dm_q,lev_p_q,lev_catastrophic,recal_dm,recal_p,cvx_tw,cvx_dm,cvx_p,oracle_tw,oracle_dm,cw_holm,dmq_holm,genuine
long_form,B1_bow_ridge,5,7951,0.1226067260656771,0.12086879176314268,0.11888011745513084,1.6453166106838288,0.10688423823233704,1.4947321029620135,10.870626398097576,1.2379014176820927e-27,-6.75177697668904,1.563113570718682e-11,-8.568915986928225,1.2420247609292636e-17,-0.002560558038353998,-0.0014156091922559455,9.412609573102859e-05,1.435695962496948,1.2743418699331042,0.20257953195977324,True,-2.935803563735622,0.0033363795510605474,0.0,0.0,1.0,0.06999999999999995,-2.7967403041597128,5.694346521337626e-26,5.470897497515388e-10,True
long_form,B1_bow_ridge,10,7933,0.08926724489634956,0.08729339051016716,0.08603367759089903,1.4430793808168212,0.058530808524301106,1.5615296469603517,11.109828182784936,9.106986588164264e-29,-9.179812311390869,5.421606402945204e-20,-9.976017746835506,2.6617775015396864e-23,-0.0015341894465860054,-0.000988724065731205,8.342185414551007e-05,1.2502927434312592,0.8854119841130552,0.3759613110649088,False,-1.6041863571923953,0.10871279345219603,0.0,0.0,1.0,0.07199999999999995,-2.5738879323740282,4.2802836964372045e-27,2.7650192655020537e-18,True
long_form,B1_bow_ridge,20,7902,0.06459879310463382,0.07008297694567736,0.06799063125332619,2.9855262769060005,0.09846861346054536,1.3341822137958925,14.91948981367223,5.814648138768081e-50,-13.075267803903577,1.1468412495968374e-38,-12.656941655990321,2.3049488219995116e-36,-0.0024126506107762283,-0.0017855605034651474,-3.463015272322789e-05,-0.3421347296578022,-12.545471220506826,9.212945819531797e-36,False,3.1441217938303847,0.0016720324123135077,0.0,0.0,1.0,0.10099999999999998,-3.1754594072157833,3.8376677715869333e-48,6.995731622540708e-37,True
long_form,B2_tfidf_ridge,5,7951,0.1226067260656771,0.12086879176314268,0.11684325492956003,3.3305014262665753,0.23683180904696574,1.4947321029620135,13.431066944855518,5.509791854940299e-41,-11.338148065949502,1.4314838354283112e-29,-11.107503450651175,1.8666668798745666e-28,-0.00471202076665601,-0.0033207742347387565,1.9860000922178322e-05,0.41806324078965257,0.9997406223682723,0.3174664754456677,True,-2.935803563735622,0.0033363795510605474,0.0,0.0,1.0,0.07499999999999996,-1.616281671005467,3.30587511296418e-39,8.445754629027037e-28,True
long_form,B2_tfidf_ridge,10,7933,0.08926724489634956,0.08729339051016716,0.08425354518391244,3.4823316043620314,0.17001060754841513,1.5615296469603517,14.440211439612481,5.628004695100357e-47,-15.29925124265144,4.267875395131434e-52,-12.829648637817444,2.6239894191902457e-37,-0.003444607718358774,-0.0026450694577023768,1.9759102939095885e-05,0.9485485182187372,-18.109893826528907,7.363030459109565e-72,False,-1.6041863571923953,0.10871279345219603,0.0,0.0,1.0,0.03200000000000003,-0.5761492025266892,3.545642957913225e-45,2.8167977607867463e-50,True
long_form,B2_tfidf_ridge,20,7902,0.06459879310463382,0.07008297694567736,0.06593416311016972,5.9198595954670425,0.2044249337080748,1.3341822137958925,17.82728906808283,4.975276930621423e-70,-19.616773197113712,1.0655550259870722e-83,-15.846170951407514,1.0707213504155887e-55,-0.0045637853959816016,-0.0037359526186045975,5.5076893017960705e-05,2.1796973605507795,-26.763241610088183,4.0494006368781244e-151,False,3.1441217938303847,0.0016720324123135077,0.0,0.0,1.0,0.07799999999999996,-1.367780405374337,3.4329410821287817e-68,7.352329679310798e-82,False
long_form,B3_lm_linear,5,7951,0.1226067260656771,0.12086879176314268,0.12027090153903107,0.49466054503402973,0.6413123812975448,1.4947321029620135,7.19820253122332,3.3287945535723703e-13,-1.7001812014489934,0.0891359613734039,-4.137760689377793,3.543284069678901e-05,-0.0013188755214194115,8.83710923871092e-05,4.464618872254689e-05,0.6524478546964201,-1.6732736799927348,0.09431277402028183,False,-2.935803563735622,0.0033363795510605474,0.0,0.0,1.0,0.0,0.0,1.1650780937503296e-11,0.8022236523606352,False
long_form,B3_lm_linear,10,7933,0.08926724489634956,0.08729339051016716,0.08572727198461577,1.7940860314836526,0.5905278250429469,1.5615296469603517,9.565760296148781,7.277627279683307e-22,-5.445647051102129,5.316225115980829e-08,-6.286226506178615,3.424702501495252e-10,-0.002124751983446158,-0.0010099611137719816,3.868631756150098e-05,0.7085269884587463,-9.898243818719216,5.754142718900685e-23,False,-1.6041863571923953,0.10871279345219603,0.0,0.0,1.0,0.0,0.0,3.129379730263822e-20,1.3290562789952073e-06,True
long_form,B3_lm_linear,20,7902,0.06459879310463382,0.07008297694567736,0.06764063517559431,3.484928689567737,0.5816444686551895,1.3341822137958925,12.517180134839277,6.535599553871933e-36,-9.632027221865279,7.718001654547799e-22,-8.601440072294599,9.39420960570253e-18,-0.0029531247815177057,-0.0019359038615177457,-0.00020466812671208478,-1.0823712867542965,-14.588899097058054,1.369134627779806e-47,False,3.1441217938303847,0.0016720324123135077,0.0,0.0,1.0,0.0,0.0,3.725291745707002e-34,4.090540876910333e-20,True
long_form,B4_lm_features,5,7951,0.1226067260656771,0.12086879176314268,0.12073246231467775,0.11279127264883795,0.13906244006395818,1.4947321029620135,6.542005582964611,3.222798771049812e-11,-2.7966909124361963,0.00517529308463671,-6.138031761978778,8.755622005228404e-10,-0.00022461443447873894,-3.857906491378377e-05,-2.3553788088437335e-06,-0.131357164352802,-1.8926175342524036,0.05844504324190151,False,-2.935803563735622,0.0033363795510605474,0.0,0.0,1.0,0.0,0.0,1.095751582156936e-09,0.07245410318491394,False
