disclosure,model,horizon,alpha,mu_mode,forecast,n,viol_rate,kupiec_lr,kupiec_p,cc_lr,cc_p,tick_loss,dm_tick_vs_fR_stat,dm_tick_vs_fR_p
long_form,B2_tfidf_ridge,5,0.01,pooled,rawHAR,7550,0.03165562913907285,227.41699471797074,2.1810545258968248e-51,230.88270057402588,7.319115268309293e-51,0.001808098441018817,5.862815994353093,4.742486649659247e-09
long_form,B2_tfidf_ridge,5,0.01,pooled,fR,7550,0.02609271523178808,136.8598069109487,1.2940627348662836e-31,138.30374832140546,9.283732937516565e-31,0.0016716757896970038,0.0,1.0
long_form,B2_tfidf_ridge,5,0.01,pooled,fU,7550,0.026357615894039736,140.7824267852602,1.795222888694761e-32,143.1386798494782,8.276192760108929e-32,0.0016658977516725805,-0.5854796666287918,0.5582427358896588
long_form,B2_tfidf_ridge,5,0.01,zero,rawHAR,7550,0.028741721854304635,177.8976852961432,1.3946187869291514e-40,182.3986705581301,2.469630244119273e-40,0.0017481258140282431,5.284859471606235,1.2932058085026526e-07
long_form,B2_tfidf_ridge,5,0.01,zero,fR,7550,0.023311258278145695,98.27306307355025,3.644904900990012e-23,99.0817647190479,3.052587789154851e-22,0.0016281765255728089,0.0,1.0
long_form,B2_tfidf_ridge,5,0.01,zero,fU,7550,0.024105960264900663,108.79886551471759,1.7961827029738894e-25,110.1916991114947,1.1808005918710469e-24,0.0016203990614142053,-0.8261189898940391,0.4087627042562607
long_form,B2_tfidf_ridge,5,0.05,pooled,rawHAR,7550,0.07589403973509934,92.62096602959036,6.3332923078480525e-22,95.99961368039976,1.425439393738943e-21,0.00523141799019725,3.7908600427227883,0.0001512961171154593
long_form,B2_tfidf_ridge,5,0.05,pooled,fR,7550,0.0652980132450331,34.07144591157112,5.312514908209179e-09,36.67694416359154,1.0856823270116753e-08,0.005145065138654407,0.0,1.0
long_form,B2_tfidf_ridge,5,0.05,pooled,fU,7550,0.06675496688741722,40.56203423283205,1.9047181378846654e-10,41.2055694376254,1.128039441274777e-09,0.00511412364734308,-2.9767273405964993,0.0029226744664177557
long_form,B2_tfidf_ridge,5,0.05,zero,rawHAR,7550,0.0666225165562914,39.950561814483535,2.6047264180270537e-10,41.31759720380887,1.0665906308748773e-09,0.005168800770629961,2.6322221707460165,0.008500102360541818
long_form,B2_tfidf_ridge,5,0.05,zero,fR,7550,0.05827814569536424,10.365862908362942,0.0012836688481720952,13.181747475871362,0.001372839937110541,0.005110541390549537,0.0,1.0
long_form,B2_tfidf_ridge,5,0.05,zero,fU,7550,0.058675496688741724,11.359274224595083,0.0007507215476555947,13.34007594261493,0.001268350589162666,0.005076426532458826,-3.485456577294458,0.0004940899235477268
long_form,B2_tfidf_ridge,10,0.01,pooled,rawHAR,7167,0.02804520719966513,158.2673436813925,2.70536201144898e-36,158.3466212008036,4.125419264043512e-35,0.0023603617520852093,5.53022251138909,3.310978563500402e-08
long_form,B2_tfidf_ridge,10,0.01,pooled,fR,7167,0.01772010604157946,35.089762543319466,3.148517085778234e-09,35.32444255085579,2.134984674691692e-08,0.002126983874731644,0.0,1.0
