disc,family,h,n_test,qlike_vol,qlike_var,r2,pred_sd,n_unique_2dp,mode_val_2dp,mode_share_pct,qlike_var_metricsjson,metrics_sanity,context_flag,rel_har,dm_har,p_har,rel_firm,dm_firm,p_firm
event_driven,qwen3_32b,5,25109,0.19671351996583392,1.1765972359306225,-0.1213632381063825,0.03227669521146695,10,0.22,49.3408737902744,1.1765972359306225,PASS,-,1.2140902851029831,-5.0439839407429234,5.416951736540807e-07,0.448071117825022,-5.259870537069428,1.7648661847955117e-07
event_driven,qwen3_32b,10,25001,0.19136627304535586,1.2143930545452195,-0.24358556228112183,0.02426993828803839,19,0.2,50.329986800527976,1.2143930545452195,PASS,-,0.99833307574032,-3.757748805309225,0.0001814691617793,0.2527726804253586,-5.1626009604784535,2.943014477147498e-07
event_driven,qwen3_32b,20,24732,0.20968160717545106,1.3156003322576701,-0.47579115310694386,0.021398315190732143,16,0.18,49.18324437975093,1.3156003322576701,PASS,-,0.6582441286840165,-1.9823432496516544,0.0477197844998974,0.1958688162845859,-3.793967408638233,0.0001573439275772
event_driven,yi_34b,5,25109,0.7974278077274021,8.18786092511671,-0.6955830230883411,0.040459493500788965,18,0.15,73.55529889680992,8.18786092511671,PASS,-,0.3700430927086594,-0.5959548619860973,0.5513409205701354,0.2187854404245622,-0.9950605048859814,0.319948759894716
event_driven,yi_34b,10,25001,0.7241951861467485,7.604760591835202,-0.717258617211713,0.04727193199296051,23,0.17,58.62965481380745,7.604760591835202,PASS,-,0.0723788198793468,0.600902487337689,0.5480424832107217,0.0748175599268961,-0.1280219690076875,0.8981575874480239
event_driven,yi_34b,20,24732,0.7025223454251036,7.87331663384572,-0.8125474681972047,0.056000381052830825,25,0.19,55.88306647258612,7.87331663384572,PASS,-,-0.6235358053637572,2.5403215509191552,0.0112284396262939,-0.0692623982262117,1.58122381846766,0.1141495398850207
long_form,qwen3_32b,5,7951,0.2072271361575837,1.2258739191605483,-0.17412155768748283,0.027424803243745046,8,0.18,64.40699283109043,1.2258739191605483,PASS,-,1.7942379073494668,-6.307719290334443,4.659791337986908e-10,-0.1379670626355288,5.156044555835963,3.174264701570283e-07
long_form,qwen3_32b,10,7933,0.1778223964200529,1.0949984296873068,-0.20133484917756594,0.017056147321225637,13,0.2,76.81835371234085,1.0949984296873068,PASS,-,2.2515608914093552,-7.915564732409046,8.178987052933856e-15,-0.1703397163261552,6.83497839506193,1.623864306102069e-11
long_form,qwen3_32b,20,7902,0.16009386502167042,0.9257728979799517,-0.3445754388617166,0.0239347791231967,16,0.22,45.54543153631992,0.9257728979799517,PASS,-,0.2748020035212505,-3.232306764547454,0.0012786846389931,0.0237266674453092,-3.7911145758556577,0.0001613509229876
long_form,yi_34b,5,7951,0.6977720046295174,6.203779792514734,-0.790822533808224,0.033578106326038366,18,0.15,56.63438561187272,6.203779792514734,PASS,4K-TRUNCATED,-0.6414286613047708,2.563793665833107,0.0105333188815984,-0.2109808822385681,1.8307462187833192,0.0675065817835576
long_form,yi_34b,10,7933,0.6561748291309606,5.850508046979164,-0.7664265441366025,0.043116453755205925,23,0.18,28.564225387621327,5.850508046979164,PASS,4K-TRUNCATED,-2.709835172614043,4.269615144582337,2.192511128742174e-05,-1.6080319660168343,4.381391707181757,1.335822074232698e-05
long_form,yi_34b,20,7902,0.6102296408043026,5.24552541398687,-1.065897242543258,0.05637248555199195,26,0.21,26.082004555808656,5.24552541398687,PASS,4K-TRUNCATED,-9.859266411978291,5.68476223407804,1.840927164447993e-08,-6.053391109208724,5.549792993763839,3.900863690609978e-08
combined,qwen3_32b,5,33060,0.19924206692108504,1.1884483825840146,-0.13324336820592841,0.03151625869334224,10,0.18,48.32123411978221,1.1884483825840146,PASS,-,,,,,,
combined,qwen3_32b,10,32934,0.188103882407458,1.1856337918076891,-0.2328292229571003,0.022832487193606844,20,0.2,56.71039047792555,1.1856337918076891,PASS,-,,,,,,
combined,qwen3_32b,20,32634,0.19767442636711696,1.221207478618443,-0.4471280074014097,0.0237817428663092,19,0.18,44.67426610283753,1.221207478618443,PASS,-,,,,,,
combined,yi_34b,5,33060,0.7734603760749131,7.710685211707203,-0.7170529228543512,0.038915907392703675,22,0.15,69.48578342407744,7.710685211707203,PASS,PARTIAL(4K),,,,,,
combined,yi_34b,10,32934,0.707810735663775,7.1822037982983415,-0.7296926203787948,0.046431551674480126,24,0.17,48.47270298172102,7.1822037982983415,PASS,PARTIAL(4K),,,,,,
combined,yi_34b,20,32634,0.6801745807651304,7.2370230069742165,-0.8654994870202528,0.056479864369061925,26,0.19,46.448489305632165,7.2370230069742165,PASS,PARTIAL(4K),,,,,,
