disc,family,h,n_test,n_days,rel_har,dm_har,p_har,rel_firm,dm_firm,p_firm,g_text,qlike_vol,qlike_var,r2,pred_sd,n_unique_2dp,mode_val_2dp,mode_share_pct,qlike_var_metricsjson,metrics_sanity,parse_fail_rate,clipped_rate,flag,p_har_holm,p_firm_holm
long_form,qwen3_32b,5,7951,809,1.7942379073494668,-6.307719290334443,4.659791337986909e-10,-0.13796706263552883,5.156044555835963,3.1742647015702827e-07,0.2538018365573886,0.2072271361575837,1.2258739191605483,-0.17412155768748283,0.027424803243745046,8,0.18,64.40699283109043,1.2258739191605483,PASS,0.0,0.0,-,,
long_form,qwen3_32b,10,7933,803,2.2515608914093552,-7.915564732409046,8.178987052933856e-15,-0.17033971632615524,6.83497839506193,1.623864306102069e-11,0.33330197238689635,0.1778223964200529,1.0949984296873068,-0.20133484917756594,0.017056147321225637,13,0.2,76.81835371234085,1.0949984296873068,PASS,0.0,0.0,-,,
long_form,qwen3_32b,20,7902,794,0.2748020035212505,-3.232306764547454,0.0012786846389931377,0.023726667445309265,-3.7911145758556573,0.00016135092298766394,0.07796998798708187,0.16009386502167042,0.9257728979799517,-0.3445754388617166,0.0239347791231967,16,0.22,45.54543153631992,0.9257728979799517,PASS,0.0,0.0,-,,
long_form,yi_34b,5,7951,809,-0.6414286613047708,2.563793665833107,0.010533318881598431,-0.2109808822385681,1.8307462187833194,0.0675065817835576,0.14064655634488596,0.6977720046295174,6.203779792514734,-0.790822533808224,0.033578106326038366,18,0.15,56.63438561187272,6.203779792514734,PASS,0.0,0.0033,4K-TRUNCATED,,
long_form,yi_34b,10,7933,803,-2.709835172614043,4.269615144582337,2.192511128742174e-05,-1.6080319660168345,4.381391707181757,1.3358220742326981e-05,0.196963111875067,0.6561748291309606,5.850508046979164,-0.7664265441366025,0.043116453755205925,23,0.18,28.564225387621327,5.850508046979164,PASS,0.0,0.0033,4K-TRUNCATED,,
long_form,yi_34b,20,7902,794,-9.859266411978291,5.68476223407804,1.840927164447993e-08,-6.053391109208724,5.549792993763839,3.900863690609978e-08,0.27339765828770535,0.6102296408043026,5.24552541398687,-1.065897242543258,0.05637248555199195,26,0.21,26.082004555808656,5.24552541398687,PASS,0.0,0.0033,4K-TRUNCATED,,
event_driven,qwen3_32b,5,25109,996,1.2140902851029833,-5.0439839407429234,5.416951736540807e-07,0.44807111782502207,-5.259870537069428,1.7648661847955115e-07,0.263831543378711,0.19671351996583392,1.1765972359306225,-0.1213632381063825,0.03227669521146695,10,0.22,49.3408737902744,1.1765972359306225,PASS,0.0,0.0,-,,
event_driven,qwen3_32b,10,25001,991,0.99833307574032,-3.7577488053092245,0.00018146916177931644,0.2527726804253586,-5.1626009604784535,2.943014477147498e-07,0.2805682658252092,0.19136627304535586,1.2143930545452195,-0.24358556228112183,0.02426993828803839,19,0.2,50.329986800527976,1.2143930545452195,PASS,0.0,0.0,-,,
event_driven,qwen3_32b,20,24732,981,0.6582441286840165,-1.9823432496516546,0.047719784499897465,0.1958688162845859,-3.7939674086382325,0.000157343927577265,0.24452581697318196,0.20968160717545106,1.3156003322576701,-0.47579115310694386,0.021398315190732143,16,0.18,49.18324437975093,1.3156003322576701,PASS,0.0,0.0,-,,
event_driven,yi_34b,5,25109,996,0.3700430927086594,-0.5959548619860973,0.5513409205701354,0.2187854404245622,-0.9950605048859814,0.31994875989471605,0.07974004781394166,0.7974278077274021,8.18786092511671,-0.6955830230883411,0.040459493500788965,18,0.15,73.55529889680992,8.18786092511671,PASS,0.0,0.0079,-,,
