disc,model,h,pool,rel_pct,dm,p,holm_p,genuine_raw,genuine_holm
long_form,C4_longformer,10,pool5 (paper),-2.860080265532081,7.480541050960045,2.0342809239153061e-13,1.4036538375015612e-11,False,False
long_form,B2_tfidf_ridge,10,pool5 (paper),1.9517436929438372,-5.758058001261585,1.2320027560880085e-08,8.377618741398458e-07,True,True
long_form,C2_finbert_s4,20,pool5 (paper),2.3157255578486144,-5.489789806369781,5.479510552214952e-08,3.6712720699840178e-06,True,True
long_form,B2_tfidf_ridge,20,pool5 (paper),4.012857915594649,-5.24198341869174,2.0576649916327974e-07,1.3580588944776462e-05,True,True
long_form,C6_llmtext,5,pool5 (paper),1.0455397088134586,-4.857206963265619,1.435274350516821e-06,9.329283278359336e-05,True,True
event_driven,C2_finbert_s1,20,pool5 (paper),-4.539568799259102,4.824470114397073,1.6270245358588522e-06,0.00010412957029496654,False,False
long_form,C6_llmtext,10,pool5 (paper),1.0658540273160524,-4.664202346568008,3.6560559864250062e-06,0.00023033152714477538,True,True
event_driven,D4_llmfused,20,pool5 (paper),-0.2427982814417879,4.498032630024709,7.679363875252433e-06,0.00047612056026565084,False,False
long_form,C4_longformer,5,pool5 (paper),0.5338197337754246,-3.9159507625233902,9.781906421477375e-05,0.005966962917101199,True,True
long_form,C2_finbert_s2,10,pool5 (paper),-0.12312967964511916,3.906552937799945,0.00010190553805127936,0.006114332283076762,False,False
long_form,C3_roberta_s1,5,pool5 (paper),-0.02105982971480949,3.6958361094443455,0.0002342722002212192,0.013822059813051934,False,False
long_form,C2_finbert_s4,10,pool5 (paper),0.9801865467453207,-3.6823722953939066,0.0002473258625331176,0.01434490002692082,True,True
long_form,B2_tfidf_ridge,5,pool5 (paper),1.6721243059592703,-3.578977270382337,0.0003659580392444593,0.02085960823693418,True,True
long_form,D4_llmfused,20,pool5 (paper),0.3651431169030308,-3.166851732140909,0.0016022291320495893,0.089724831394777,True,False
long_form,D4_llmfused,10,pool5 (paper),0.28843182266024925,-3.137335290451552,0.0017702529376381847,0.09736391157010016,True,False
long_form,B3_lm_linear,10,pool5 (paper),0.640650752913478,-3.034437804838625,0.0024914458016846116,0.13453807329096903,True,False
long_form,D1_concat_mlp,10,pool5 (paper),-0.6075185204449095,3.0163058734536445,0.0026434940818225935,0.13971905681553157,False,False
long_form,C2_finbert_s3,5,pool5 (paper),0.9263456628115114,-3.010979820459896,0.0026869049387602223,0.13971905681553157,True,False
long_form,C2_finbert_s1,10,pool5 (paper),1.9471432196813068,-2.98360441990732,0.002939374754818977,0.14990811249576783,True,False
event_driven,D4_llmfused,5,pool5 (paper),0.11398862845417623,-2.939099420533256,0.0033677168289478173,0.16838584144739085,True,False
long_form,C6_llmtext,20,pool5 (paper),0.23329097161103168,-2.7856516494104975,0.005474368834084218,0.2682440728701267,True,False
long_form,D2_gated_fusion,20,pool5 (paper),-1.3741677845420361,2.747035706846918,0.006155280834468349,0.2954534800544808,False,False
long_form,C2_finbert_s4,5,pool5 (paper),-1.0652874528392293,2.6914942864899474,0.007263525232257217,0.3413856859160892,False,False
long_form,B3_lm_linear,20,pool5 (paper),1.9268909711669004,-2.6424425427130447,0.008399541776809221,0.3863789217332242,True,False
long_form,C2_finbert_s3,10,pool5 (paper),1.3416589598646356,-2.6085554633489743,0.009270002785052212,0.4171501253273495,True,False
long_form,B1_bow_ridge,20,pool5 (paper),1.6075089729734726,-2.53254152467433,0.011523027449721997,0.5070132077877679,True,False
long_form,B1_bow_ridge,5,pool5 (paper),0.8702402004086593,-2.4894682164675017,0.012997859276287192,0.5589079488803492,True,False
long_form,C4_longformer,20,pool5 (paper),-5.8778911866556545,2.444593633761133,0.014726516189650301,0.6185136799653126,False,False
long_form,C1_bert_s1,20,pool5 (paper),1.318007722733248,-2.4168350911485046,0.01588940516223771,0.6514656116517462,True,False
event_driven,B4_lm_features,10,pool5 (paper),0.08434634834374503,-2.389161741934022,0.017073247733987985,0.6829299093595194,True,False
long_form,B4_lm_features,10,pool5 (paper),-0.7288209043307747,2.348403214369492,0.01910777371630454,0.7452031749358771,False,False
long_form,C2_finbert_s2,5,pool5 (paper),0.5584382719917814,-2.2153578423257017,0.0270196102254486,0.9821373675146678,True,False
long_form,C3_roberta_s1,10,pool5 (paper),-0.20004446326401773,-2.1991922819486067,0.028162796946638022,0.9821373675146678,True,False
event_driven,D2_gated_fusion,20,pool5 (paper),-2.422164808653963,2.1454072822875165,0.03216547207336169,0.9821373675146678,False,False
long_form,C3_roberta_s1,20,pool5 (paper),0.011228343908134054,2.109454915964907,0.03523005463321675,0.9821373675146678,False,False
event_driven,D4_llmfused,10,pool5 (paper),-0.02957551959259984,2.1080141951127715,0.03528060693353169,0.9821373675146678,False,False
long_form,D2_gated_fusion,10,pool5 (paper),-0.4821257122640367,2.029234108600072,0.042780211515894506,0.9821373675146678,False,False
event_driven,C6_llmtext,5,pool5 (paper),0.3980001429655966,-1.9409022854154738,0.052552260104083065,0.9821373675146678,False,False
