disc,model,h,seeds,n_seeds,n_test,n_days,n_outside_span,in_primary_grid,g_log_fixed,fixed_sig_q_clu,fixed_sig_q_legacy,fixed_mean_rel,fixed_pooled_rel,fixed_dm_clu,fixed_p_clu,fixed_boot_lo,fixed_boot_hi,fixed_placebo_dm,exp_sig_q_clu,exp_sig_q_legacy,exp_mean_rel,exp_pooled_rel,exp_dm_clu,exp_p_clu,exp_n_days,exp_boot_lo,exp_boot_hi,exp_placebo_dm,gap_sig_q_clu,gap_mean_rel,gap_pooled_rel,fixed_holm,exp_holm,genuine_fixed,genuine_exp,deploy_status,old_expanding_sig_q,old_fixed_sig_q,old_expanding_mean_rel,old_fixed_mean_rel,m1_rel,m1_dm_clu,m1_holm,m1_genuine
long_form,B1_bow_ridge,5,2026,1,7951,809,0,True,0.10688423823233704,6,9,1.624928545193089,1.6453166106838288,-3.8343062389023346,0.00013571202045885167,-0.0027639579746118184,-0.0008926237679088614,0.4266040577339112,0,1,-16.27557185230962,-17.44180492676562,4.227743140984523,2.6300474338637673e-05,809,0.011795516956613834,0.029718496246495144,-0.5248226443966983,-6,-17.90050039750271,-19.08712153744945,0.0056999048592717705,0.001683230357672811,True,False,LOST-ON-DEPLOY,,,,,1.6453166106838288,-3.8343062389023346,0.0050213447569775,True
long_form,B1_bow_ridge,10,2026,1,7933,803,0,True,0.058530808524301106,4,10,1.3994055951162352,1.4430793808168212,-4.14759093241594,3.718297815318565e-05,-0.0015323209305146428,-0.0005582994173320172,0.3876537309612839,0,2,-11.741621204695862,-15.06203221312397,3.0185699330994495,0.0026201310203410122,803,0.0050187150460078616,0.021105052222560372,0.7738293790752586,-4,-13.141026799812098,-16.505111593940793,0.0016360510387401685,0.13103334651299,True,False,LOST-ON-DEPLOY,,,,,1.4430793808168212,-4.14759093241594,0.0014501361479742,True
long_form,B1_bow_ridge,20,2026,1,7902,794,0,True,0.09846861346054536,5,12,2.9779226733968613,2.9855262769060005,-5.446405777397618,6.860604581652476e-08,-0.002547299408650059,-0.0012241286134183234,-0.24844069597837323,0,2,-10.259411241017538,-13.455311176773586,2.292440258905849,0.02214131990730242,794,0.0023721477090148098,0.016668014239147023,-0.002346131472495594,-5,-13.2373339144144,-16.440837453679585,4.04775670317496e-06,0.8635114763847944,True,False,LOST-ON-DEPLOY,,,,,2.9855262769060005,-5.446405777397618,3.636120428275812e-06,True
long_form,B2_tfidf_ridge,5,2026,1,7951,809,0,True,0.23683180904696574,5,12,3.3392123707906634,3.3305014262665753,-5.3907848396946605,9.213613664235412e-08,-0.005294901743750942,-0.0024778481066551417,0.5067196653293575,1,3,-3.2432995988150832,-4.470308774156352,3.0245007083808537,0.0025692813041762745,809,0.004028911914127544,0.01681327838481303,-0.2195045619728619,-4,-6.582511969605747,-7.8008102004229265,5.343895925256539e-06,0.13103334651299,True,False,LOST-ON-DEPLOY,3.0,12.0,-3.2432995988150832,3.3392123707906634,3.3305014262665753,-5.3907848396946605,4.791079105402414e-06,True
long_form,B2_tfidf_ridge,10,2026,1,7933,803,0,True,0.17001060754841513,10,14,3.4785595213793363,3.4823316043620314,-8.89254432852136,3.901005011622187e-18,-0.004264900010891767,-0.0028147069523075468,0.32827969728391804,3,4,-1.4618967947509238,-4.119096417782432,1.106130639785953,0.26900166366091527,803,-0.0018039883260861978,0.007581314007899634,0.4246110596378302,-7,-4.94045631613026,-7.601428022144463,2.8477336584841963e-16,1.0,True,False,LOST-ON-DEPLOY,4.0,14.0,-1.4618967947509236,3.4785595213793363,3.4823316043620314,-8.89254432852136,2.613673357786865e-16,True
long_form,B2_tfidf_ridge,20,2026,1,7902,794,0,True,0.2044249337080748,10,16,5.897470404461597,5.9198595954670425,-9.041621963712146,1.1651051953355876e-18,-0.005220555578169524,-0.0034336711942865193,0.29793310268116374,1,6,0.04698110836985947,-3.055676060058105,0.6789146797640976,0.49739001256419507,794,-0.0030029965791471725,0.008048764014769446,-0.8441227440429543,-9,-5.850489296091737,-8.975535655525148,8.621778445483348e-17,1.0,True,False,LOST-ON-DEPLOY,6.0,16.0,0.04698110836985936,5.897470404461597,5.9198595954670425,-9.041621963712146,7.922715328281996e-17,True
long_form,B3_lm_linear,5,2026,1,7951,809,0,True,0.6413123812975448,3,1,0.5318755852915177,0.49466054503402973,-2.583028949055883,0.009968402319951325,-0.0033998502017239824,-0.0004982031242502617,0.5900481940646093,1,3,0.539815648162762,0.5387946220597969,-2.3041762825150776,0.02146559919518588,809,-0.0029228598175654154,-0.0002984134932165529,-0.2739707204680382,-2,0.007940062871244269,0.04413407702576716,0.18939964407907517,0.8586239678074352,False,False,null-null,,,,,0.4946605450340297,-2.583028949055883,0.1893996440790751,False
long_form,B3_lm_linear,10,2026,1,7933,803,0,True,0.5905278250429469,3,8,1.740595304910869,1.7940860314836526,-4.615395517081547,4.566983311300923e-06,-0.0035052145201117987,-0.001470035640192785,0.2714877342521003,2,3,1.0577243891954535,1.1560997536817408,-3.1875136678156433,0.0014906496928240643,803,-0.0025925156635557183,-0.0006411635565764417,0.1876880483974308,-1,-0.6828709157154154,-0.6379862778019119,0.00021464821563114338,0.07751378402685134,True,False,LOST-ON-DEPLOY,,,,,1.7940860314836526,-4.615395517081547,0.0001918132990746,True
long_form,B3_lm_linear,20,2026,1,7902,794,0,True,0.5816444686551895,2,10,3.2627791642908104,3.484928689567737,-4.69288743331623,3.1725548463252715e-06,-0.003177145302403226,-0.0013472632131446146,-1.2585489497240971,1,4,1.630366012333325,1.924756144541851,-2.598800944044819,0.009528778705487078,794,-0.0020409733328896206,-0.000333197943010408,-0.7665551671869337,-1,-1.6324131519574854,-1.560172545025886,0.00015228263262361303,0.41926626304143144,True,False,LOST-ON-DEPLOY,,,,,3.484928689567737,-4.69288743331623,0.0001364198583919,True
long_form,B4_lm_features,5,2026,1,7951,809,0,True,0.13906244006395818,1,5,0.14550949393523152,0.11279127264883795,1.020094388471287,0.30798902639445963,-7.690628763030847e-05,0.0002656957569027844,0.42772485818947886,0,0,-0.14974459296573478,-0.2958529952819819,2.3688126610367033,0.018079578892036385,809,0.00010001071555383262,0.0008563034928977773,0.4767682579615006,-1,-0.29525408690096633,-0.40864426793081987,1.0,0.7412627345734918,False,False,null-null,,,,,0.1127912726488379,1.020094388471287,1.0,False
