disc,model,h,fit_window,n_fit,n_test,orig_rel_impr_pct,qlike_R,qlike_U,rel_impr_pct,g_log,dm_clustered,p_clustered,n_days,note
long_form,B1_bow_ridge,5,train_tail,3935,7951,1.6453166106838288,0.14556556984900318,0.22118026383123607,-51.94545252745472,0.8106853693106248,7.748599821566363,2.7872908197399986e-14,809.0,
long_form,B1_bow_ridge,5,val_ex_h1,2971,7951,1.6453166106838288,0.12350466117446217,0.12218879411961953,1.0654391845048297,0.1849705744550142,-1.3408394948030602,0.18034939033250594,809.0,
long_form,B1_bow_ridge,5,val_full,3956,7951,1.6453166106838288,0.12086879176314268,0.11888011745513084,1.6453166106838288,0.10688423823233704,-3.8343062389023346,0.00013571202045885167,809.0,
long_form,B1_bow_ridge,10,train_tail,3930,7933,1.4430793808168212,0.11008225991164074,0.1660181329144397,-50.812794947793385,0.8111829939108869,5.415517854430321,8.081561789721078e-08,803.0,
long_form,B1_bow_ridge,10,val_ex_h1,2967,7933,1.4430793808168212,0.08758510131844034,0.08588812488281933,1.9375172376077727,0.18873934332257672,-1.383529304724739,0.16688759234662187,803.0,
long_form,B1_bow_ridge,10,val_full,3950,7933,1.4430793808168212,0.08729339051016716,0.08603367759089903,1.4430793808168212,0.058530808524301106,-4.14759093241594,3.718297815318565e-05,803.0,
long_form,B1_bow_ridge,20,train_tail,3919,7902,2.9855262769060005,0.07834593758596706,0.11594575835516567,-47.99204901714433,0.7762419514109326,4.401822872631345,1.2204167788003954e-05,794.0,
long_form,B1_bow_ridge,20,val_ex_h1,2961,7902,2.9855262769060005,0.06352350754831768,0.061319294776867164,3.469916660023738,0.23657730192849458,-1.4962382293881098,0.13498945288508454,794.0,
long_form,B1_bow_ridge,20,val_full,3943,7902,2.9855262769060005,0.07008297694567736,0.06799063125332619,2.9855262769060005,0.09846861346054536,-5.446405777397618,6.860604581652476e-08,794.0,
long_form,B2_tfidf_ridge,5,train_tail,3935,7951,3.3305014262665753,0.14556556984900318,0.1618226526844758,-11.1682198285874,0.8601284664576847,5.268902524721391,1.7618366627034956e-07,809.0,
long_form,B2_tfidf_ridge,5,val_ex_h1,2971,7951,3.3305014262665753,0.12350466117446217,0.12081147768922358,2.1806330705480073,0.4219363446791696,-1.1966823523413042,0.23178139028905573,809.0,
long_form,B2_tfidf_ridge,5,val_full,3956,7951,3.3305014262665753,0.12086879176314268,0.11684325492956003,3.3305014262665753,0.23683180904696574,-5.3907848396946605,9.213613664235412e-08,809.0,
long_form,B2_tfidf_ridge,10,train_tail,3930,7933,3.4823316043620314,0.11008225991164074,0.12513432441798894,-13.67346974746883,0.8797874683819691,4.2438942055908475,2.4534436519866416e-05,803.0,
long_form,B2_tfidf_ridge,10,val_ex_h1,2967,7933,3.4823316043620314,0.08758510131844034,0.08446074940302654,3.5672184748115265,0.38514369481705024,-3.5688814975259326,0.0003798148847711365,803.0,
long_form,B2_tfidf_ridge,10,val_full,3950,7933,3.4823316043620314,0.08729339051016716,0.08425354518391244,3.4823316043620314,0.17001060754841513,-8.89254432852136,3.901005011622187e-18,803.0,
