disc,model,h,n_seeds,vol_rel_impr_pct,vol_dm_q_clu,vol_p_q_clu,vol_dmq_holm_clu,vol_placebo_dm_clu,genuine_ens_vol,primary_raw,primary_holm,primary_genuine,maximal_raw,maximal_holm,rel_impr_pct_maximal,firm_raw,firm_holm,rel_impr_pct_firm,withindate_verdict_s26basis,AND_maximal_firm_raw,AND_full_raw,AND_maximal_firm_holm,AND_full_holm,AND_genuine_holm
long_form,B1_bow_ridge,5,1,1.6453166106838288,-3.8343062389023346,0.0001357120204588,0.0050213447569775,0.4266040577339112,True,True,True,True,True,False,0.8702402004086593,False,False,-0.13846094021214841,cross-sectional,False,False,False,False,False
long_form,B1_bow_ridge,10,1,1.4430793808168212,-4.14759093241594,3.718297815318565e-05,0.0014501361479742,0.3876537309612839,True,True,True,True,False,False,0.5055245411598753,False,False,-2.7204936922898173,cross-sectional,False,False,False,False,False
long_form,B1_bow_ridge,20,1,2.9855262769060005,-5.446405777397618,6.860604581652477e-08,3.636120428275812e-06,-0.2484406959783732,True,True,True,True,True,False,1.6075089729734726,False,False,-4.984587316943238,cross-sectional,False,False,False,False,False
long_form,B2_tfidf_ridge,5,1,3.3305014262665753,-5.3907848396946605,9.213613664235412e-08,4.791079105402414e-06,0.5067196653293575,True,True,True,True,True,True,1.6721243059592703,False,False,-0.6147533787598136,cross-sectional,False,False,False,False,False
long_form,B2_tfidf_ridge,10,1,3.4823316043620314,-8.89254432852136,3.901005011622187e-18,2.613673357786865e-16,0.328279697283918,True,True,True,True,True,True,1.9517436929438372,False,False,-3.892169412007764,cross-sectional,False,False,False,False,False
long_form,B2_tfidf_ridge,20,1,5.9198595954670425,-9.041621963712146,1.1651051953355878e-18,7.922715328281996e-17,0.2979331026811637,True,True,True,True,True,True,4.012857915594649,False,False,-8.089490036358773,n/a (not genuine),False,False,False,False,False
long_form,B3_lm_linear,5,1,0.4946605450340297,-2.583028949055883,0.0099684023199513,0.1893996440790751,0.5900481940646093,False,True,False,False,False,False,-0.22090145237417086,False,False,0.20737098537938167,n/a (not genuine),False,False,False,False,False
long_form,B3_lm_linear,10,1,1.7940860314836526,-4.615395517081547,4.566983311300923e-06,0.0001918132990746,0.2714877342521003,True,True,True,True,True,False,0.640650752913478,True,True,0.26052916835955614,regime-timing,True,True,False,False,False
long_form,B3_lm_linear,20,1,3.484928689567737,-4.69288743331623,3.1725548463252715e-06,0.0001364198583919,-1.2585489497240971,True,True,True,True,True,False,1.9268909711669004,False,False,-0.016889638928940735,cross-sectional,False,False,False,False,False
long_form,B4_lm_features,5,1,0.1127912726488379,1.020094388471287,0.3079890263944596,1.0,0.4277248581894788,False,False,False,False,False,False,0.02321054438689578,False,False,-0.13892354113198738,n/a (not genuine),False,False,False,False,False
long_form,B4_lm_features,10,1,-0.9221600983274052,3.316927343955919,0.0009510986093558,0.027581859671321,-1.6878385951666228,False,False,False,False,False,False,-0.7288209043307747,False,False,-2.7672721184718916,n/a (not genuine),False,False,False,False,False
long_form,B4_lm_features,20,1,-1.920474136598029,3.3821524016415694,0.0007544444710135,0.0241422230724349,-3.171423918774887,False,False,False,False,False,False,-1.5541543078803324,False,False,-7.132788699177395,n/a (not genuine),False,False,False,False,False
long_form,C1_bert_s1,5,3,3.4197884844353266,-3.25022593301281,0.001200859735567,0.0331847847052435,-0.0312368793688912,True,True,True,True,False,False,1.0875415902516692,False,False,1.375679252652616,n/a (not genuine),False,False,False,False,False
