disc,family,h,n_test,n_days,rel_har,dm_har,p_har,rel_firm,dm_firm,p_firm,g_text
long_form,qwen3_32b,5,7951,809,1.7942379073494668,-6.307719290334443,4.659791337986909e-10,-0.13796706263552883,5.156044555835963,3.1742647015702827e-07,0.2538018365573886
long_form,qwen3_32b,10,7933,803,2.2515608914093552,-7.915564732409046,8.178987052933856e-15,-0.17033971632615524,6.83497839506193,1.623864306102069e-11,0.33330197238689635
long_form,qwen3_32b,20,7902,794,0.2748020035212505,-3.232306764547454,0.0012786846389931377,0.023726667445309265,-3.7911145758556573,0.00016135092298766394,0.07796998798708187
long_form,yi_34b,5,7951,809,-0.6414286613047708,2.563793665833107,0.010533318881598431,-0.2109808822385681,1.8307462187833194,0.0675065817835576,0.14064655634488596
long_form,yi_34b,10,7933,803,-2.709835172614043,4.269615144582337,2.192511128742174e-05,-1.6080319660168345,4.381391707181757,1.3358220742326981e-05,0.196963111875067
long_form,yi_34b,20,7902,794,-9.859266411978291,5.68476223407804,1.840927164447993e-08,-6.053391109208724,5.549792993763839,3.900863690609978e-08,0.27339765828770535
event_driven,qwen3_32b,5,25109,996,1.2140902851029833,-5.0439839407429234,5.416951736540807e-07,0.44807111782502207,-5.259870537069428,1.7648661847955115e-07,0.263831543378711
event_driven,qwen3_32b,10,25001,991,0.99833307574032,-3.7577488053092245,0.00018146916177931644,0.2527726804253586,-5.1626009604784535,2.943014477147498e-07,0.2805682658252092
event_driven,qwen3_32b,20,24732,981,0.6582441286840165,-1.9823432496516546,0.047719784499897465,0.1958688162845859,-3.7939674086382325,0.000157343927577265,0.24452581697318196
event_driven,yi_34b,5,25109,996,0.3700430927086594,-0.5959548619860973,0.5513409205701354,0.2187854404245622,-0.9950605048859814,0.31994875989471605,0.07974004781394166
event_driven,yi_34b,10,25001,991,0.07237881987934688,0.600902487337689,0.5480424832107217,0.07481755992689613,-0.12802196900768753,0.8981575874480239,0.06385854187586021
event_driven,yi_34b,20,24732,981,-0.6235358053637572,2.5403215509191552,0.011228439626293905,-0.0692623982262117,1.58122381846766,0.11414953988502077,0.059616030623115934
event_driven,phi4_14b,5,25109,996,0.3818833447326158,-1.9576795380088043,0.05054682875660517,0.19825729186494212,-1.6842960453648863,0.09243809504629016,0.22228081621422235
event_driven,phi4_14b,10,25001,991,0.18148523485804507,-0.3800129254333312,0.7040173294056986,0.14120975828965546,-1.1564888524733081,0.24776024561491355,0.18123755324004104
event_driven,phi4_14b,20,24732,981,-0.11643855708551479,1.21531461553578,0.22453882011858106,0.0011414591840677487,-0.07378518003058662,0.9411963766675123,0.05207891739766026
