run_id,config_sha256,training_sha256_or_blank,n_config_keys,released_config_sha256,released_training_sha256_or_blank,sanitised_fields
A1_hv_full_combined_seed2026,4a172b9a67ee74b537f0df3523b1180dda44e9fa6a07579bd0969e61d09a5a1e,,5,4a172b9a67ee74b537f0df3523b1180dda44e9fa6a07579bd0969e61d09a5a1e,,
A1_hv_full_event_driven_seed2026,9f9cc269c1d096f53d3b0fbd97eab0628fa73171a87fce380897011ab8848b10,,5,9f9cc269c1d096f53d3b0fbd97eab0628fa73171a87fce380897011ab8848b10,,
A1_hv_full_long_form_seed2026,98ecd123495510d58dfebc8ecd7c4cdd7ce4c94eeda11e55092441b339887170,,5,98ecd123495510d58dfebc8ecd7c4cdd7ce4c94eeda11e55092441b339887170,,
A2_har_rv_full_combined_seed2026,00aafbeac08ca779cae5b3ebabfd99caed971b220d636d014e44cf12ca8c2146,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,5,00aafbeac08ca779cae5b3ebabfd99caed971b220d636d014e44cf12ca8c2146,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,
A2_har_rv_full_event_driven_seed2026,3e29acd8bb7cae362b8c507a117312b5ff32835b8a5033163ffa64d3d2848737,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,5,3e29acd8bb7cae362b8c507a117312b5ff32835b8a5033163ffa64d3d2848737,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,
A2_har_rv_full_long_form_seed2026,e53cc37813acbedd50b09b7cc23cdd69e7e683c5bb37d69bf3d15ff63df0970f,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,5,e53cc37813acbedd50b09b7cc23cdd69e7e683c5bb37d69bf3d15ff63df0970f,14c4e176105ab752e357bcdc8d158fa464c1bdb26720243f8ce0de51daec8652,
A3_garch_full_combined_seed2026,e10097d9ff2e897638665dcb47044b7223c04c3f70ac7a7b711ea7b3597d01a3,,5,e10097d9ff2e897638665dcb47044b7223c04c3f70ac7a7b711ea7b3597d01a3,,
A3_garch_full_event_driven_seed2026,e1b2d1bc8b34f22a8953175f5f3088db1f53d5613b0d3bec9a89e57a23a9eb69,,5,e1b2d1bc8b34f22a8953175f5f3088db1f53d5613b0d3bec9a89e57a23a9eb69,,
A3_garch_full_long_form_seed2026,05d2da87cd3435db3243f2844c401aa7587d18eaa9f0ba841920f2cdacd7d202,,5,05d2da87cd3435db3243f2844c401aa7587d18eaa9f0ba841920f2cdacd7d202,,
A4_egarch_full_combined_seed2026,fc50c5c281c7b12c921b1fd7fcddc7e757bb5730e4c1c5ce64e866d066ea4293,,5,fc50c5c281c7b12c921b1fd7fcddc7e757bb5730e4c1c5ce64e866d066ea4293,,
A4_egarch_full_event_driven_seed2026,36873593af36360a5c73d5a739c19b17c541c398a351efe7266e40e36f242bdf,,5,36873593af36360a5c73d5a739c19b17c541c398a351efe7266e40e36f242bdf,,
A4_egarch_full_long_form_seed2026,d8b327307b091ed1d74f7216bb9f3d6733a9ead36e8a4d7614c6f18d4f0c6e0e,,5,d8b327307b091ed1d74f7216bb9f3d6733a9ead36e8a4d7614c6f18d4f0c6e0e,,
A5_arima_full_combined_seed2026,7eb17341f2490dc511eacfe8dca053539cf6eac1cdcfedd028f3abf3604354f9,,5,7eb17341f2490dc511eacfe8dca053539cf6eac1cdcfedd028f3abf3604354f9,,
A5_arima_full_event_driven_seed2026,759cf6d6f9324d532f46c117527efeea0fca8a23093ca35b8b1f07ba7bf93f76,,5,759cf6d6f9324d532f46c117527efeea0fca8a23093ca35b8b1f07ba7bf93f76,,
A5_arima_full_long_form_seed2026,47dc1d4dc302a7eefda1f1b2d35024e58826ee7aac8335545556e95f7dde7fb3,,5,47dc1d4dc302a7eefda1f1b2d35024e58826ee7aac8335545556e95f7dde7fb3,,
A6_harq_full_combined_seed2026,825d2a84cd1effaae3e1a7d1499f69040f3f087bc3b98aba85df71d638b81ecf,,9,de12f8aae629455bdba91699a8a4d73f3418772b86af554c0618bfba8f8a8d1c,,returns_source
A6_harq_full_event_driven_seed2026,e0f9f3f05887950ebca5500377c78f63f20d6d033dc96460abeb807315f5be2e,,9,b0fc351b8628314f64c7cd95881c00eca86d87f0bde0154712002408aacb7bb3,,returns_source
A6_harq_full_long_form_seed2026,b5b41dcf5c9dcae901f76d8f7ee14740bda98e47dc0dd06c85855d7abe8cb535,,9,ecd045cfdcc675dbb1f02db5eb5458136632f959c610134c0553eb8df3833e7c,,returns_source
A6_shar_full_combined_seed2026,6cab30ba61eece2a6f2f64602e5a6ea81baf86e128bf9d59b0d082da67beb643,,8,0e7bf2aee548675ed370b6ef1f575726b006c11f23b162e87cc9c947ece12a1a,,returns_source
A6_shar_full_event_driven_seed2026,aedcab1e9fb9a5bacc5d407b689a6fb6b002def7498cafcabef50067ef3d4eed,,8,fa7587c514e56622fa95381ac70ff8fd7b610d54f8ab80a12717f26e76342086,,returns_source
A6_shar_full_long_form_seed2026,064c4e71ff4f3bb37501b97e95c0d9c34f71ec36e513154a31c6358d4d035a61,,8,ed1907a72b67cae3bbfef3e29fb04163911bf307d15f4fecb3cff134c6624875,,returns_source
A7_harx_vix_full_combined_seed2026,5433b0994b7b2ef2c59900b6bf4e6ee855c031e117097c620dbb5f5bfa63730c,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,6,5433b0994b7b2ef2c59900b6bf4e6ee855c031e117097c620dbb5f5bfa63730c,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,
A7_harx_vix_full_event_driven_seed2026,eead97355357346cde67fe0d044abf369b3b2ee7cf7069f095137e290e2545ab,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,6,eead97355357346cde67fe0d044abf369b3b2ee7cf7069f095137e290e2545ab,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,
A7_harx_vix_full_long_form_seed2026,9e934d2590534824a4afc383d03eca63590c276c4d7f0570027d49f59a957f12,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,6,9e934d2590534824a4afc383d03eca63590c276c4d7f0570027d49f59a957f12,f081949c3bda87538f0de09bcfd1bd9dc0df422273289db704a384cef7c4584b,
B1_bow_ridge_full_combined_seed2026,39f7bed88a9a774245f7c9b6c6a331b8df9c2a0a68d98a2f3be722a01462a1b1,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,5,39f7bed88a9a774245f7c9b6c6a331b8df9c2a0a68d98a2f3be722a01462a1b1,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,
B1_bow_ridge_full_event_driven_seed2026,baacc32652c2ddf322025ed7800b987141c10ce24fb675420dcb397e29ad3fc1,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,5,baacc32652c2ddf322025ed7800b987141c10ce24fb675420dcb397e29ad3fc1,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,
B1_bow_ridge_full_long_form_seed2026,a6fc10b4cf738e9b76822159f0eeef022c452387d0cfb13f533b07d918086170,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,5,a6fc10b4cf738e9b76822159f0eeef022c452387d0cfb13f533b07d918086170,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,
B2_tfidf_ridge_anonctrl_full_event_driven_seed2026,644a191857f9f186fbb11a7215d12410f3da6737ab5a67acade1643c67152281,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,6,733ff9829a76523c00bfa5a745fb39c55abe5850413d50dd1f9f54d4d02907ae,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,vocabulary
B2_tfidf_ridge_anonctrl_full_long_form_seed2026,ac8540f8f8f7c9b13c60cff8f7058952a4d898ddefdffe8f7ca7e1d06aaabf26,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,6,188fb383f932071ebd40697b384145a2a5d7177b99a9a559df1d66ff0b9a97a6,a173db4b740a2f847b969f0076a1a1ba908ba931b499cf97ecab41428510a724,vocabulary
